IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,270.83,320.30,250.98,39.09,66.09
매출원가,211.42,243.23,202.41,34.72,60.09
매출총이익,59.41,77.07,48.57,4.37,6.00
판매비와관리비,81.28,101.07,75.02,25.79,25.49
인건비,26.61,47.77,27.87,11.71,9.20
유무형자산상각비,0.58,1.29,1.76,0.36,0.38
연구개발비,20.12,29.69,14.78,1.08,4.55
광고선전비,1.14,1.75,1.53,0.35,0.58
판매비,0.25,-0.14,0.19,-0.06,0.18
관리비,12.19,16.81,23.58,10.67,9.33
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,20.40,3.91,5.32,1.68,1.27
영업이익,-21.88,-24.01,-26.45,-21.42,-19.49
영업이익(발표기준),-21.88,-24.01,-26.45,-21.42,-19.49
금융수익,13.99,26.59,43.61,1.19,0.10
이자수익,3.64,3.62,1.61,0.39,0.10
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.09,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,10.35,22.65,41.92,0.79,0.0
기타금융수익,0.0,0.31,0.0,0.0,0.0
금융원가,12.87,66.73,67.06,7.04,0.96
이자비용,9.76,8.55,16.69,4.55,0.96
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,13.71,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,3.11,52.67,19.95,0.55,0.0
기타금융원가,0.0,5.50,16.71,1.94,0.0
기타수익,5.17,9.37,20.80,0.00,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.12,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.06,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.00,0.0,0.0,0.0
자산평가이익,0.0,6.69,12.25,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.05,2.62,8.54,0.00,0.01
기타비용,5.46,61.81,33.50,2.33,1.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.00,0.00,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.49,10.25,0.0,0.0,0.0
자산처분(폐기)손실,4.83,0.0,0.14,0.02,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,2.20,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.00,0.51,-0.42,0.0,-0.48
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.14,51.05,31.58,2.30,1.62
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-21.05,-116.58,-62.60,-29.60,-21.48
법인세비용,1.10,3.22,3.04,0.0,0.0
계속영업이익,-22.16,-119.80,-65.65,-29.60,-21.48
중단영업이익,0.0,0.0,-3.61,0.0,0.0
당기순이익,-22.16,-119.80,-69.26,-29.60,-21.48
지배주주순이익,-22.16,-119.80,-69.01,-28.71,-21.48
비지배주주순이익,0.0,0.0,-0.24,-0.89,0.0
