IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,324.10,410.39,472.69,113.48,124.06
매출원가,129.74,210.36,270.58,66.76,67.76
매출총이익,194.36,200.03,202.11,46.72,56.30
판매비와관리비,178.44,179.46,226.00,57.27,50.56
인건비,54.70,57.94,71.36,17.16,17.14
유무형자산상각비,23.56,26.34,30.63,8.00,6.71
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,13.70,12.11,14.21,6.49,2.85
판매비,23.06,21.22,37.00,6.72,5.10
관리비,63.13,55.61,64.44,17.36,16.72
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.29,6.23,8.36,1.53,2.04
영업이익,15.92,20.57,-23.89,-10.55,5.73
영업이익(발표기준),15.92,20.57,-23.89,-10.55,5.73
금융수익,4.15,10.16,86.13,1.53,3.48
이자수익,4.15,9.03,8.76,1.48,3.48
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,1.14,9.77,0.06,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,66.26,0.0,0.0
기타금융수익,0.0,0.0,1.33,0.0,0.0
금융원가,3.59,3.38,50.74,3.38,0.76
이자비용,3.59,3.38,19.86,3.38,0.76
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,12.83,0.0,0.0
기타금융원가,0.0,0.0,18.06,0.0,0.0
기타수익,1.82,0.63,6.84,0.09,0.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.28,0.10,0.09,0.01,0.00
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.37,0.0,0.14,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.17,0.53,6.61,0.08,0.01
기타비용,0.55,0.19,0.74,0.08,0.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.54,0.19,0.23,0.07,0.07
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.11,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.39,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-4.42,0.0,0.0
지분법손익,0.0,0.0,-4.42,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,17.76,27.80,13.18,-12.38,8.40
법인세비용,2.74,3.20,2.78,-2.61,0.97
계속영업이익,15.02,24.60,10.40,-9.77,7.44
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,15.02,24.60,10.40,-9.77,7.44
지배주주순이익,15.02,24.60,13.73,-8.18,7.44
비지배주주순이익,0.0,0.0,-3.33,-1.59,0.0
