IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,97.68,0.0,0.0,0.0,0.0
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,97.68,0.0,0.0,0.0,0.0
판매비와관리비,276.31,313.36,363.39,144.85,76.16
인건비,105.84,116.56,132.45,59.33,31.29
유무형자산상각비,30.31,27.05,19.66,4.04,4.72
연구개발비,117.27,144.64,178.94,71.13,33.87
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,14.75,15.55,21.63,6.39,3.41
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.14,9.55,10.71,3.97,2.86
영업이익,-178.63,-313.36,-363.39,-144.85,-76.16
영업이익(발표기준),-178.63,-313.36,-363.39,-144.85,-76.16
금융수익,18.17,45.48,49.50,6.48,14.49
이자수익,3.16,11.45,24.66,4.63,6.62
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,8.87,6.07,11.63,0.47,3.87
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,5.00,4.02,0.40,1.34
금융자산평가이익,2.41,4.10,9.19,0.99,2.66
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,3.74,0.0,0.0,0.0,0.0
기타금융수익,0.0,18.86,0.0,0.0,0.0
금융원가,34.13,51.82,12.05,2.73,4.24
이자비용,21.23,19.09,5.81,0.39,2.45
외환손실,5.12,3.43,2.98,1.50,0.68
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.08,2.80,0.84,1.11
금융자산평가손실,4.91,1.03,0.47,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,2.87,28.20,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.26,0.76,0.80,0.02,0.21
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.10,0.23,0.14,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.16,0.52,0.66,0.02,0.21
기타비용,0.02,42.59,1.32,0.00,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.01,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,42.55,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.03,1.32,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-194.35,-361.52,-326.45,-141.08,-65.70
법인세비용,4.65,6.96,-0.32,0.0,0.0
계속영업이익,-199.00,-368.48,-326.13,-141.08,-65.70
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-199.00,-368.48,-326.13,-141.08,-65.70
지배주주순이익,-199.00,-368.48,-326.13,-141.08,-65.70
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
