IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,629.25,399.84,307.58,71.60,77.67
매출원가,373.23,192.10,153.49,33.31,33.06
매출총이익,256.02,207.75,154.09,38.29,44.61
판매비와관리비,314.16,200.66,150.28,34.34,40.77
인건비,36.87,32.69,32.05,7.32,9.12
유무형자산상각비,11.95,7.94,12.53,2.92,2.19
연구개발비,3.96,3.48,2.33,0.72,0.79
광고선전비,116.04,39.83,23.05,6.82,5.44
판매비,113.57,88.84,50.32,9.61,14.46
관리비,31.76,27.88,29.99,6.96,8.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.0,0.0,0.0,0.0
영업이익,-58.14,7.08,3.81,3.95,3.84
영업이익(발표기준),-58.14,7.08,3.81,3.95,3.84
금융수익,6.78,5.47,1.76,0.27,0.79
이자수익,0.04,0.04,0.97,0.20,0.06
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.30,0.08,0.80,0.06,0.73
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,6.44,0.0,0.0,0.0,0.0
기타금융수익,0.0,5.35,0.0,0.0,0.0
금융원가,50.25,27.49,20.40,4.70,6.00
이자비용,22.20,27.44,20.27,4.45,5.99
외환손실,0.14,0.05,0.13,0.25,0.02
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,27.92,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.10,2.92,2.60,0.39,0.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.39,0.17,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.42,2.66,2.28,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.28,0.09,0.32,0.39,0.02
기타비용,6.72,17.44,18.34,1.10,0.41
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.22,0.18,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.0,13.03,0.0,0.22
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,10.50,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,1.09,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.50,6.76,4.22,1.10,0.19
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-107.23,-29.46,-30.57,-1.19,-1.76
법인세비용,-5.40,-0.96,19.38,0.0,0.0
계속영업이익,-101.84,-28.49,-49.95,-1.19,-1.76
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-101.84,-28.49,-49.95,-1.19,-1.76
지배주주순이익,-99.79,-28.49,-49.95,-1.19,-1.76
비지배주주순이익,-2.05,0.0,0.0,0.0,0.0
