IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"24,790.11","23,746.33","15,781.73","3,126.84","4,004.75"
매출원가,"21,816.20","21,667.36","14,910.82","2,981.58","3,789.53"
매출총이익,"2,973.91","2,078.97",870.92,145.26,215.22
판매비와관리비,984.95,813.05,847.15,251.28,209.30
인건비,423.68,513.71,522.23,167.26,126.24
유무형자산상각비,350.94,74.99,80.84,18.20,20.42
연구개발비,1.32,6.89,0.03,0.0,0.03
광고선전비,12.18,10.53,9.01,0.11,0.22
판매비,-4.61,1.48,26.11,11.62,2.11
관리비,170.00,193.00,193.55,48.61,55.67
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,31.45,12.45,15.38,5.48,4.61
영업이익,"1,988.96","1,265.92",23.76,-106.02,5.91
영업이익(발표기준),"1,988.96","1,265.92",23.76,-106.02,5.91
금융수익,82.58,155.31,133.02,20.71,43.17
이자수익,65.74,141.59,124.43,19.23,42.87
배당금수익,0.73,0.0,0.0,0.0,0.0
외환이익,3.60,12.80,5.83,1.11,0.20
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,9.82,0.0,0.0,0.0,0.0
금융자산평가이익,2.69,0.92,2.76,0.37,0.10
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,130.68,167.80,110.38,25.70,30.05
이자비용,127.19,154.68,102.45,24.68,29.73
외환손실,3.37,7.12,5.77,1.02,0.08
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.06,0.01,0.0,0.0,0.0
금융자산평가손실,0.07,5.99,2.16,0.0,0.24
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,31.41,48.67,69.84,89.33,9.90
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.82,0.64,0.94,0.12,0.40
외환이익,12.71,20.91,16.47,1.62,3.34
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.22,0.31,1.03,75.13,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,2.91,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,14.75,26.81,51.40,12.46,6.16
기타비용,22.69,49.35,37.55,1.19,3.89
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,12.06,19.06,4.17,0.60,1.13
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,8.46,2.25,2.77,0.0,2.27
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,10.77,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.01,0.87,0.10,0.0,0.10
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.15,16.40,30.51,0.59,0.39
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,949.58","1,252.74",78.69,-22.88,25.05
법인세비용,430.59,302.76,12.25,57.82,20.05
계속영업이익,"1,518.99",949.98,66.44,-80.69,5.00
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"1,518.99",949.98,66.44,-80.69,5.00
지배주주순이익,961.74,406.86,16.51,-6.39,5.69
비지배주주순이익,557.25,543.13,49.93,-74.30,-0.69
