IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,275.45,273.24,284.19,82.88,59.56
매출원가,199.02,195.96,193.74,48.01,43.17
매출총이익,76.43,77.29,90.45,34.87,16.39
판매비와관리비,41.08,45.79,50.08,20.20,9.47
인건비,15.84,19.81,24.07,6.45,4.95
유무형자산상각비,2.78,3.29,4.60,1.23,0.93
연구개발비,7.42,6.57,4.86,1.19,0.86
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,6.32,5.91,2.88,1.96,0.65
관리비,4.84,5.78,7.10,5.71,1.49
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.88,4.44,6.57,3.65,0.60
영업이익,35.35,31.49,40.37,14.67,6.92
영업이익(발표기준),35.35,31.49,40.37,14.67,6.92
금융수익,7.26,8.81,26.73,1.96,1.26
이자수익,1.03,3.41,5.19,0.97,1.26
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,6.23,5.40,21.54,1.00,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,10.26,12.86,15.94,1.62,1.01
이자비용,4.55,4.89,4.11,0.53,1.01
외환손실,1.39,7.97,11.82,1.09,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,4.32,0.0,0.0,0.0,0.0
기타수익,12.18,0.38,1.15,0.02,6.86
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,11.29,0.0,0.0,0.0,6.64
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.31,0.07,0.32,0.0,0.15
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.10,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.01,0.06,0.05,0.0,0.02
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.58,0.14,0.78,0.02,0.05
기타비용,9.13,35.94,0.41,0.26,4.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,8.58,0.0,0.0,0.0,3.86
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.50,2.25,0.15,0.0,0.14
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,3.73,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.05,29.95,0.26,0.26,0.03
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,35.41,-8.12,51.91,14.77,10.00
법인세비용,6.51,10.45,8.12,0.99,3.53
계속영업이익,28.90,-18.57,43.79,13.78,6.47
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,28.90,-18.57,43.79,13.78,6.47
지배주주순이익,28.90,-18.57,43.79,13.78,6.47
비지배주주순이익,0.0,0.0,0.0,0.00,0.0
