IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,452.67,536.02,606.62,135.65,168.29
매출원가,315.41,338.44,356.30,78.80,92.15
매출총이익,137.26,197.58,250.32,56.84,76.14
판매비와관리비,118.19,152.98,193.03,26.32,72.68
인건비,43.68,46.51,76.80,13.58,27.51
유무형자산상각비,4.41,3.70,3.57,0.79,0.80
연구개발비,8.26,6.30,8.27,0.83,1.61
광고선전비,12.21,14.48,18.91,0.35,8.53
판매비,9.41,10.14,9.78,-0.20,2.34
관리비,40.21,71.85,75.69,10.97,31.89
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.0,0.0,0.0,0.0
영업이익,19.07,44.60,57.29,30.52,3.46
영업이익(발표기준),19.07,44.60,57.29,30.52,3.46
금융수익,6.96,22.76,15.39,24.66,9.68
이자수익,2.89,4.64,3.72,0.75,0.77
배당금수익,0.00,0.0,1.86,0.52,0.32
외환이익,0.17,0.02,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,3.31,8.27,6.66,19.83,4.73
금융자산평가이익,0.48,8.29,3.15,2.42,3.86
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.12,1.54,0.0,1.15,0.0
기타금융수익,0.0,0.01,0.0,0.0,0.0
금융원가,12.62,4.43,35.46,18.28,19.33
이자비용,2.06,1.91,1.65,0.68,0.28
외환손실,0.24,0.17,0.0,0.0,0.35
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.81,0.91,5.28,3.16,5.18
금융자산평가손실,9.51,1.45,17.52,14.44,7.78
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,11.01,0.0,5.74
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,22.30,14.93,29.17,13.60,11.28
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,19.28,11.56,25.18,13.27,9.37
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.15,0.0,0.03,0.0,0.56
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.90,0.49,0.07,0.14
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.87,2.47,3.46,0.26,1.22
기타비용,19.84,13.16,10.48,13.03,1.47
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,15.57,12.44,5.25,12.25,1.31
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.18,0.11,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,2.90,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.27,0.54,2.22,0.78,0.16
"종속기업,공동지배기업및관계기업관련손익",-0.38,0.0,-3.11,0.0,0.0
지분법손익,-0.38,0.0,-3.11,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,15.50,64.70,52.80,37.47,3.62
법인세비용,5.28,11.06,15.16,6.60,1.21
계속영업이익,10.22,53.65,37.64,30.87,2.41
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,10.22,53.65,37.64,30.87,2.41
지배주주순이익,15.58,59.41,40.85,30.99,4.01
비지배주주순이익,-5.36,-5.76,-3.21,-0.12,-1.60
