IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,56.14,84.63,156.02,54.69,40.68
매출원가,78.07,92.85,158.84,52.80,43.94
매출총이익,-21.93,-8.22,-2.82,1.89,-3.26
판매비와관리비,134.98,172.22,155.04,33.30,45.90
인건비,44.11,55.86,46.75,10.82,12.80
유무형자산상각비,13.43,12.57,13.95,3.34,3.23
연구개발비,46.23,67.61,50.76,11.09,19.11
광고선전비,2.98,4.30,5.71,0.52,2.92
판매비,1.70,0.91,7.88,-1.30,0.65
관리비,17.98,20.22,20.37,6.42,4.83
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.53,10.76,9.62,2.41,2.38
영업이익,-156.91,-180.44,-157.86,-31.40,-49.16
영업이익(발표기준),-156.91,-180.44,-157.86,-31.40,-49.16
금융수익,71.74,3.00,14.61,3.41,1.48
이자수익,1.13,2.20,3.13,0.63,1.01
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.63,0.80,2.27,0.04,0.47
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,69.48,0.0,9.18,2.74,0.0
기타금융수익,0.50,0.0,0.04,0.0,0.0
금융원가,41.35,4.27,19.36,2.82,2.67
이자비용,22.31,3.89,13.84,2.75,2.66
외환손실,0.45,0.38,0.14,0.06,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,18.59,0.0,5.39,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.50,1.29,0.87,0.56,0.08
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.17,0.01,0.03,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.12,0.12,0.10,0.03,0.03
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.59,0.64,0.63,0.50,0.0
기타,0.79,0.36,0.14,-0.00,0.04
기타비용,2.46,0.66,16.59,0.04,0.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.18,0.38,0.12,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,2.22,0.0,15.76,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.05,0.28,0.71,0.04,0.03
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-127.48,-181.08,-178.33,-30.30,-50.29
법인세비용,-0.49,2.24,0.03,0.0,0.0
계속영업이익,-126.99,-183.32,-178.36,-30.30,-50.29
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-126.99,-183.32,-178.36,-30.30,-50.29
지배주주순이익,-127.00,-183.32,-178.36,-30.30,-50.29
비지배주주순이익,0.02,0.0,0.0,0.0,0.0
