IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,353.98,455.29,614.12,168.78,38.13
매출원가,130.73,151.37,252.01,84.68,22.70
매출총이익,223.25,303.92,362.11,84.10,15.43
판매비와관리비,256.17,280.23,301.28,87.14,75.30
인건비,73.17,53.82,58.20,16.48,14.63
유무형자산상각비,5.60,6.66,9.54,2.59,2.13
연구개발비,130.75,152.42,166.10,48.42,41.21
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,10.82,17.36,17.37,1.77,1.51
관리비,30.36,43.75,43.17,16.03,14.19
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,5.47,6.21,6.90,1.84,1.62
영업이익,-32.92,23.70,60.83,-3.04,-59.87
영업이익(발표기준),-32.92,23.70,60.83,-3.04,-59.87
금융수익,17.79,23.00,14.80,1.69,5.64
이자수익,5.20,7.68,4.05,1.06,1.25
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,12.58,15.32,10.75,0.64,4.40
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,13.31,17.19,7.32,1.85,0.44
이자비용,0.74,0.98,2.60,0.75,0.34
외환손실,12.57,16.21,4.72,1.10,0.10
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.32,4.42,4.57,0.30,0.08
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.16,0.29,0.28,0.07,0.07
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.16,4.13,4.29,0.23,0.02
기타비용,1.48,1.09,0.30,0.15,0.08
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.13,0.49,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.35,0.59,0.30,0.15,0.08
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,-0.08,0.0
지분법손익,0.0,0.0,0.0,-0.08,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-29.60,32.84,72.57,-3.12,-54.67
법인세비용,0.18,-0.95,13.51,0.57,-1.20
계속영업이익,-29.78,33.79,59.07,-3.69,-53.46
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-29.78,33.79,59.07,-3.69,-53.46
지배주주순이익,-29.78,33.79,59.07,-3.69,-53.46
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
