IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,461.79","3,548.92","5,475.96","1,443.77","1,139.75"
매출원가,377.68,340.82,431.01,104.99,119.46
매출총이익,"2,084.11","3,208.09","5,044.95","1,338.79","1,020.29"
판매비와관리비,"3,394.89","3,583.31","4,081.56","1,082.07",917.33
인건비,889.37,"1,024.44","1,139.58",275.76,255.82
유무형자산상각비,115.59,124.35,127.62,34.37,31.94
연구개발비,"1,228.17","1,371.26","1,612.70",420.02,356.34
광고선전비,484.76,389.26,444.87,154.93,126.17
판매비,0.0,0.0,0.0,0.0,0.0
관리비,609.98,596.20,671.59,174.29,130.43
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,67.02,77.79,85.20,22.70,16.64
영업이익,"-1,310.78",-375.22,963.40,256.72,102.96
영업이익(발표기준),"-1,310.78",-375.22,963.40,256.72,102.96
금융수익,352.09,353.68,515.02,83.33,123.80
이자수익,67.55,93.17,101.46,16.96,24.10
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,266.35,197.56,374.63,56.73,95.77
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.41,0.0,11.87,0.0,0.25
금융자산평가이익,0.0,35.43,10.16,0.17,0.26
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,16.78,27.52,16.91,9.48,3.43
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,357.33,353.19,448.64,87.60,96.02
이자비용,37.17,82.80,106.83,25.40,22.93
외환손실,177.57,187.30,207.57,50.06,40.59
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,2.13,0.0,5.12,0.85,0.0
금융자산평가손실,72.76,34.16,30.86,0.80,4.17
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,67.71,48.94,98.26,10.49,28.33
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.21,4.87,24.30,0.01,2.26
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,1.89,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.21,4.87,22.40,0.01,2.26
기타비용,7.51,74.52,15.58,4.48,0.77
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.11,0.19,0.18,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.73,68.08,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,5.66,6.25,15.40,4.48,0.77
"종속기업,공동지배기업및관계기업관련손익",-104.37,5.81,-312.53,-44.60,-54.65
지분법손익,-149.27,-115.35,-312.53,-44.60,-54.65
"종속기업,공동지배기업및관계기업투자주식처분손익",44.90,121.16,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"-1,424.69",-438.58,725.96,203.37,77.58
법인세비용,-30.38,-84.78,"-1,543.78",7.14,-19.40
계속영업이익,"-1,394.31",-353.79,"2,269.73",196.23,96.98
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"-1,394.31",-353.79,"2,269.73",196.23,96.98
지배주주순이익,"-1,394.31",-328.83,"2,407.38",233.05,128.32
비지배주주순이익,0.0,-24.97,-137.65,-36.82,-31.34
