IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,1.83,3.34,1.59,0.0,0.0
매출원가,1.20,1.25,0.98,0.0,0.0
매출총이익,0.63,2.09,0.61,0.0,0.0
판매비와관리비,57.81,37.58,53.83,0.0,0.0
인건비,15.62,16.44,27.36,0.0,0.0
유무형자산상각비,6.45,6.31,5.32,0.0,0.0
연구개발비,28.14,8.42,15.03,0.0,0.0
광고선전비,0.08,0.50,0.08,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,6.44,4.51,4.98,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.07,1.39,1.04,0.0,0.0
영업이익,-57.18,-35.50,-53.22,0.0,0.0
영업이익(발표기준),-57.18,-35.50,-53.22,0.0,0.0
금융수익,46.93,15.03,8.96,0.0,0.0
이자수익,0.42,0.15,0.40,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.02,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,46.48,8.43,7.70,0.0,0.0
기타금융수익,0.0,6.45,0.86,0.0,0.0
금융원가,1.61,2.53,5.30,0.0,0.0
이자비용,0.00,0.00,0.0,0.0,0.0
외환손실,0.04,0.02,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,1.57,2.51,5.30,0.0,0.0
기타수익,0.54,1.95,0.20,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.04,0.04,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.54,1.91,0.15,0.0,0.0
기타비용,0.93,1.44,0.07,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.03,0.00,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.03,1.02,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.29,0.39,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.60,0.00,0.07,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-12.25,-22.49,-49.43,0.0,0.0
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-12.25,-22.49,-49.43,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-12.25,-22.49,-49.43,0.0,0.0
