IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"90,454.80","119,639.26","144,864.54","38,225.16","29,877.45"
매출원가,"88,826.19","113,090.62","129,925.23","31,934.38","28,376.58"
매출총이익,"1,628.61","6,548.64","14,939.31","6,290.78","1,500.87"
판매비와관리비,"4,520.12","4,762.24","7,887.07","1,953.44","1,288.24"
인건비,"1,953.10","2,107.44","2,336.09",581.94,579.85
유무형자산상각비,245.59,279.51,319.00,90.08,79.99
연구개발비,744.64,862.37,"1,002.33",154.32,128.15
광고선전비,59.30,67.26,60.84,66.91,14.89
판매비,-47.03,-667.80,"1,520.44",362.46,-49.49
관리비,"1,501.72","2,046.15","2,573.31",681.37,513.97
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,62.80,67.31,75.06,16.36,20.88
영업이익,"-2,891.51","1,786.40","7,052.23","4,337.34",212.64
영업이익(발표기준),"-2,891.51","1,786.40","7,052.23","4,337.34",212.64
금융수익,"11,393.55","6,311.06","9,639.70","1,564.29","2,875.73"
이자수익,456.10,490.38,537.63,174.04,145.52
배당금수익,0.38,0.21,0.17,0.0,0.0
외환이익,"6,116.46","3,480.67","7,840.04","1,039.65","2,278.35"
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,91.26,9.04,0.38,0.0,0.01
금융자산평가이익,0.0,0.0,0.0,0.0,0.37
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,"4,729.35","1,931.57","1,258.25",349.61,450.00
기타금융수익,0.0,399.19,3.23,0.99,1.48
금융원가,"15,916.90","11,241.11","32,440.80","3,098.01","9,189.85"
이자비용,"1,061.41","1,318.90","1,496.69",243.66,449.43
외환손실,"5,889.37","3,378.38","3,714.23","1,358.13","1,106.70"
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,5.18,27.46,0.80,0.0,0.21
금융자산평가손실,0.0,0.0,0.0,0.0,0.57
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,"8,756.92","6,516.37","27,229.08","1,496.22","7,632.94"
기타금융원가,204.02,0.0,0.0,0.0,0.0
기타수익,"8,127.16","5,800.69","25,431.56","1,430.87","6,935.74"
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,119.45,236.61,73.00,23.11,27.43
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,8.57,0.0,150.38,0.0,0.0
파생상품이익,"7,391.13","5,439.97","24,698.29","1,398.86","6,812.07"
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,82.64,3.03,15.20,0.0,15.10
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,525.37,121.08,494.69,8.90,81.14
기타비용,"4,912.69","2,313.27","1,699.33",470.81,538.85
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,54.41,30.77,43.71,3.76,16.58
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,314.45,214.54,46.75,0.0,0.0
파생상품손실,"3,733.24","1,349.09",844.33,256.46,127.06
기타대손상각비,0.05,8.48,85.27,6.85,0.0
충당부채전입액,0.0,0.0,39.59,0.0,0.0
기타,810.54,710.39,639.68,203.74,395.21
"종속기업,공동지배기업및관계기업관련손익",-14.44,-0.14,-1.99,-1.02,-1.40
지분법손익,-14.44,-0.14,-1.99,-1.02,-1.40
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"-4,214.84",343.63,"7,981.38","3,762.65",294.00
법인세비용,-694.19,96.74,"1,766.28",920.34,7.77
계속영업이익,"-3,520.65",246.89,"6,215.09","2,842.30",286.24
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"-3,520.65",246.89,"6,215.09","2,842.30",286.24
지배주주순이익,"-3,520.65",246.86,"6,215.09","2,842.30",286.24
비지배주주순이익,0.0,0.03,0.00,-0.00,-0.00
