IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,616.26,594.58,581.84,96.75,112.48
매출원가,509.89,467.93,500.45,83.52,94.02
매출총이익,106.36,126.65,81.39,13.23,18.46
판매비와관리비,79.71,100.19,132.27,37.01,31.59
인건비,25.28,31.98,44.73,10.79,9.50
유무형자산상각비,2.76,4.07,4.85,1.83,1.02
연구개발비,33.78,41.05,47.20,9.62,10.66
광고선전비,0.58,1.22,1.30,1.93,0.76
판매비,3.38,5.74,9.37,1.70,1.75
관리비,10.16,11.23,18.99,8.57,6.61
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.78,4.90,5.83,2.58,1.29
영업이익,26.65,26.46,-50.88,-23.78,-13.12
영업이익(발표기준),26.65,26.46,-50.88,-23.78,-13.12
금융수익,3.09,1.45,18.23,0.56,0.65
이자수익,0.12,0.58,1.35,0.51,0.23
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.98,0.87,1.40,0.05,0.40
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.00,0.02,0.00,0.01
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,15.46,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,5.95,3.65,24.32,6.42,0.71
이자비용,2.53,2.57,7.34,6.45,0.44
외환손실,0.63,0.82,1.02,-0.03,0.22
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,2.79,0.26,0.49,0.0,0.05
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,15.46,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.31,2.05,1.66,0.36,0.46
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.01,0.0,0.00,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,2.31,2.05,1.54,0.35,0.36
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.12,0.00,0.11
기타비용,0.06,0.07,13.44,0.21,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,8.37,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,5.05,0.08,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.06,0.07,0.01,0.13,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-14.04,-1.11,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,-14.04,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,-1.11,0.0
세전계속사업이익,26.04,26.25,-82.78,-30.61,-12.74
법인세비용,-0.81,1.57,27.38,0.0,0.0
계속영업이익,26.85,24.68,-110.16,-30.61,-12.74
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,26.85,24.68,-110.16,-30.61,-12.74
