IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,300.30,359.72,355.89,85.79,87.32
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,300.30,359.72,355.89,85.79,87.32
판매비와관리비,270.25,357.43,357.84,89.87,78.59
인건비,104.61,145.84,161.36,39.28,40.14
유무형자산상각비,4.00,8.34,12.61,3.25,2.27
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,10.19,10.54,4.88,3.75,0.81
판매비,29.27,36.02,40.93,11.85,5.42
관리비,42.99,52.25,53.91,11.97,18.14
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,79.18,104.45,84.14,19.78,11.80
영업이익,30.06,2.29,-1.95,-4.08,8.73
영업이익(발표기준),30.06,2.29,-1.95,-4.08,8.73
금융수익,11.21,13.48,21.21,2.82,8.32
이자수익,2.23,6.55,5.62,1.10,1.90
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,8.98,6.93,15.59,1.72,6.41
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,7.14,6.58,5.41,3.08,0.98
이자비용,0.56,2.46,2.94,0.79,0.62
외환손실,6.58,4.13,1.69,2.29,0.36
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.78,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.42,2.11,12.67,0.09,0.48
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,0.17,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.04,0.09,0.0,0.0,0.0
기타,0.38,1.85,12.67,0.09,0.48
기타비용,18.60,3.55,0.98,0.01,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.69,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.00,0.02,0.04,0.01,0.01
기타,18.60,2.85,0.94,0.00,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,15.94,7.74,25.55,-4.26,16.54
법인세비용,3.36,-0.12,8.41,0.23,1.47
계속영업이익,12.58,7.86,17.14,-4.49,15.06
중단영업이익,3.21,1.23,0.0,0.0,0.0
당기순이익,15.79,9.10,17.14,-4.49,15.06
지배주주순이익,15.79,9.09,17.14,-4.49,15.06
비지배주주순이익,0.00,0.00,0.0,0.0,0.0
