GAAP(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,0.17,1.26,1.94,0.0,0.0
매출원가,0.0,0.37,0.0,0.0,0.0
매출총이익,0.17,0.89,1.94,0.0,0.0
판매비와관리비,10.20,19.51,21.23,0.0,0.0
인건비,3.51,5.07,5.26,0.0,0.0
유무형자산상각비,0.99,0.96,0.75,0.0,0.0
연구개발비,2.05,7.86,8.28,0.0,0.0
광고선전비,0.0,0.06,0.16,0.0,0.0
판매비,0.00,0.01,0.01,0.0,0.0
관리비,3.64,5.55,6.77,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.01,0.0,0.0,0.0
영업이익,-10.03,-18.62,-19.29,0.0,0.0
영업이익(발표기준),-10.03,-18.62,-19.29,0.0,0.0
금융수익,0.00,0.01,0.15,0.0,0.0
이자수익,0.00,0.01,0.15,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.27,0.50,0.44,0.0,0.0
이자비용,0.27,0.50,0.44,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.76,9.25,5.19,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.00,0.0,0.00,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.01,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.75,9.25,5.19,0.0,0.0
기타비용,0.00,0.26,0.03,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.00,0.00,0.02,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.26,0.01,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.00,0.0,0.0
지분법손익,0.0,0.0,0.00,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-5.54,-10.13,-14.42,0.0,0.0
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-5.54,-10.13,-14.42,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-5.54,-10.13,-14.42,0.0,0.0
