IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,431.12,363.66,465.26,98.17,91.49
매출원가,220.18,206.27,246.86,51.55,53.45
매출총이익,210.93,157.39,218.40,46.63,38.04
판매비와관리비,87.20,102.08,107.57,29.16,23.21
인건비,34.52,38.78,47.13,11.82,10.22
유무형자산상각비,2.87,3.39,3.94,1.05,0.93
연구개발비,17.41,21.77,26.96,7.42,6.24
광고선전비,2.93,6.29,5.88,2.16,0.93
판매비,10.43,10.61,2.67,0.33,0.33
관리비,19.04,21.25,21.00,6.39,4.56
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,123.73,55.31,110.83,17.46,14.83
영업이익(발표기준),123.73,55.31,110.83,17.46,14.83
금융수익,16.80,20.30,31.07,5.96,8.20
이자수익,4.92,10.05,12.37,2.96,2.77
배당금수익,0.0,0.0,0.0,1.21,0.0
외환이익,11.75,10.25,18.70,1.79,5.42
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.12,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,11.87,6.10,2.79,1.28,0.17
이자비용,0.36,0.64,0.23,0.11,0.03
외환손실,11.51,5.46,2.56,1.16,0.13
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.40,0.40,0.36,0.08,0.13
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.23,0.00,0.0,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.02,0.26,0.07,0.06
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.40,0.16,0.10,0.01,0.06
기타비용,0.05,0.00,0.06,0.0,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.00,0.00,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.04,0.00,0.06,0.0,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,129.00,69.92,139.41,22.23,22.98
법인세비용,25.25,9.75,24.26,4.22,4.44
계속영업이익,103.75,60.17,115.15,18.01,18.54
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,103.75,60.17,115.15,18.01,18.54
지배주주순이익,103.30,59.86,114.68,17.93,18.48
비지배주주순이익,0.45,0.31,0.47,0.09,0.07
