IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,419.60,512.26,628.99,124.75,132.65
매출원가,319.14,394.93,446.92,86.58,89.23
매출총이익,100.47,117.33,182.07,38.17,43.42
판매비와관리비,59.88,98.79,77.56,26.07,21.96
인건비,19.97,24.13,31.04,7.81,6.64
유무형자산상각비,1.85,4.18,4.74,1.30,1.06
연구개발비,7.45,7.06,11.67,8.78,2.26
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,17.29,43.68,9.91,2.70,6.60
관리비,12.85,19.27,20.10,5.43,5.35
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.47,0.48,0.10,0.04,0.04
영업이익,40.59,18.54,104.51,12.10,21.46
영업이익(발표기준),40.59,18.54,104.51,12.10,21.46
금융수익,5.47,12.74,18.45,9.63,2.14
이자수익,5.47,6.63,9.38,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,6.10,9.07,0.0,0.0
기타금융수익,0.0,0.0,0.0,9.63,2.14
금융원가,8.60,7.53,14.84,2.65,2.02
이자비용,2.64,7.51,9.78,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,5.96,0.02,3.29,0.0,0.0
기타금융원가,0.0,0.0,1.77,2.65,2.02
기타수익,9.49,7.79,30.99,1.69,16.09
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,7.05,5.16,17.00,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.29,0.56,1.13,0.0,0.0
자산처분(폐기)이익,0.21,1.28,12.23,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.95,0.79,0.63,1.69,16.09
기타비용,11.25,10.93,14.43,3.06,1.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,6.47,4.89,1.60,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,4.52,5.07,4.77,0.0,0.0
자산처분(폐기)손실,0.0,0.0,-0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,2.94,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.26,0.97,5.13,3.06,1.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-0.15,-0.33,0.0
지분법손익,0.0,0.0,-0.15,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,-0.33,0.0
세전계속사업이익,35.70,20.60,124.54,17.38,36.67
법인세비용,0.35,-1.89,24.69,2.15,6.51
계속영업이익,35.35,22.49,99.85,15.23,30.17
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,35.35,22.49,99.85,15.23,30.17
지배주주순이익,35.35,22.49,101.59,15.75,30.17
비지배주주순이익,0.0,0.0,-1.74,-0.52,0.0
