IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,068.87","2,325.77","2,715.94",507.57,531.55
매출원가,817.03,930.04,"1,075.16",205.71,204.22
매출총이익,"1,251.84","1,395.73","1,640.78",301.86,327.34
판매비와관리비,"1,059.30","1,213.79","1,391.79",293.97,293.44
인건비,201.11,223.91,256.41,61.66,63.25
유무형자산상각비,63.31,77.99,91.44,24.91,20.59
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,380.21,401.03,414.23,79.26,76.76
판매비,55.05,58.38,98.51,19.50,15.76
관리비,325.30,420.09,489.86,100.21,107.78
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,34.33,32.41,41.33,8.44,9.29
영업이익,192.54,181.94,248.99,7.90,33.90
영업이익(발표기준),192.54,181.94,248.99,7.90,33.90
금융수익,5.79,9.20,40.45,9.89,3.15
이자수익,4.71,6.40,11.74,5.01,1.35
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.08,1.63,8.38,4.88,1.66
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.60,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,1.17,19.74,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.15
금융원가,4.11,6.44,19.72,8.15,4.16
이자비용,2.02,3.64,15.69,4.43,3.11
외환손실,2.09,2.80,3.94,3.51,1.05
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.09,0.21,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.75,1.08,7.95,0.55,1.32
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.01,0.47,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.02,0.06,0.01,0.0,0.01
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.70,1.01,7.47,0.55,1.31
기타비용,11.83,29.81,15.61,2.58,1.45
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.13,4.06,2.47,0.30,1.08
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.55,1.05,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,9.14,24.70,13.15,2.28,0.37
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,184.14,155.96,262.06,7.61,32.76
법인세비용,41.27,28.52,52.77,-1.17,6.22
계속영업이익,142.88,127.44,209.29,8.78,26.55
중단영업이익,-41.59,-5.18,0.0,0.0,0.0
당기순이익,101.29,122.27,209.29,8.78,26.55
지배주주순이익,100.61,112.35,206.65,8.22,27.21
비지배주주순이익,0.68,9.92,2.64,0.56,-0.67
