IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,41.51,34.79,57.63,4.07,11.43
매출원가,28.14,10.90,13.90,1.87,4.07
매출총이익,13.36,23.89,43.73,2.20,7.36
판매비와관리비,201.67,125.32,128.20,24.78,31.69
인건비,36.24,32.60,35.07,8.02,8.82
유무형자산상각비,23.62,7.10,6.93,1.65,1.74
연구개발비,119.41,66.50,68.28,12.66,17.26
광고선전비,0.51,0.56,0.71,0.12,0.15
판매비,4.50,0.17,3.25,-0.04,-0.09
관리비,17.38,18.39,13.97,2.38,3.81
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-188.30,-101.43,-84.47,-22.58,-24.34
영업이익(발표기준),-188.30,-101.43,-84.47,-22.58,-24.34
금융수익,5.76,1.63,18.61,3.63,7.42
이자수익,0.67,0.69,4.96,0.39,1.36
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,5.10,0.94,0.46,0.03,0.23
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,13.18,3.22,5.83
금융원가,5.17,115.30,0.50,0.14,0.23
이자비용,1.03,1.44,0.43,0.10,0.22
외환손실,4.13,1.50,0.07,0.04,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,112.36,0.0,0.0,0.0
기타수익,1.42,7.86,1.97,0.29,0.92
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.02,4.05,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.31,0.16,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.12,0.0,0.0,0.0
기타,1.40,3.68,1.66,0.13,0.92
기타비용,1.76,1.47,0.02,0.01,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.75,0.81,0.00,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.67,0.02,0.01,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-188.04,-208.71,-64.42,-18.81,-16.24
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-188.04,-208.71,-64.42,-18.81,-16.24
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-188.04,-208.71,-64.42,-18.81,-16.24
