IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,0.0,0.0,0.0,0.0,0.0
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,0.0,0.0,0.0,0.0,0.0
판매비와관리비,40.07,26.81,21.22,0.0,0.0
인건비,10.56,10.51,10.31,0.0,0.0
유무형자산상각비,2.93,2.58,2.14,0.0,0.0
연구개발비,21.48,9.63,5.84,0.0,0.0
광고선전비,0.00,0.00,0.0,0.0,0.0
판매비,0.13,0.18,0.08,0.0,0.0
관리비,4.65,3.66,2.66,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.32,0.23,0.19,0.0,0.0
영업이익,-40.07,-26.81,-21.22,0.0,0.0
영업이익(발표기준),-40.07,-26.81,-21.22,0.0,0.0
금융수익,0.76,12.08,0.92,0.0,0.0
이자수익,0.59,1.36,0.91,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.09,10.72,0.00,0.0,0.0
기타금융수익,0.08,0.0,0.0,0.0,0.0
금융원가,11.59,13.44,2.40,0.0,0.0
이자비용,11.59,9.49,2.21,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.98,0.19,0.0,0.0
기타금융원가,0.0,2.97,0.0,0.0,0.0
기타수익,0.65,0.37,0.18,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.50,0.16,0.00,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.14,0.09,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.08,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.12,0.09,0.0,0.0
기타비용,0.26,0.19,0.46,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.26,0.12,0.16,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.04,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.07,0.26,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-50.53,-27.98,-23.00,0.0,0.0
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-50.53,-27.98,-23.00,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-50.53,-27.98,-23.00,0.0,0.0
