IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,91.39,101.01,89.45,17.67,20.40
매출원가,23.52,27.72,23.10,3.81,4.89
매출총이익,67.87,73.29,66.35,13.86,15.51
판매비와관리비,52.99,61.03,60.04,14.13,14.19
인건비,24.69,26.20,27.01,6.91,6.76
유무형자산상각비,1.39,1.68,1.68,0.45,0.41
연구개발비,3.27,4.29,4.14,0.73,0.80
광고선전비,7.88,9.03,10.79,2.70,2.65
판매비,5.46,4.46,5.19,1.20,1.36
관리비,10.30,15.37,11.23,2.14,2.22
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,14.88,12.26,6.30,-0.27,1.31
영업이익(발표기준),14.88,12.26,6.30,-0.27,1.31
금융수익,0.65,4.04,5.16,1.02,1.54
이자수익,0.50,3.86,4.80,1.02,1.22
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.16,0.18,0.36,0.00,0.32
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.14,0.15,0.32,0.03,0.02
이자비용,0.05,0.06,0.07,0.01,0.02
외환손실,0.09,0.08,0.24,0.02,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.12,1.02,0.17,0.08,0.07
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.12,1.02,0.17,0.08,0.07
기타비용,0.06,0.11,0.08,0.01,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.08,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.00,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.06,0.11,0.00,0.01,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,15.45,17.06,11.23,0.80,2.90
법인세비용,2.06,3.10,1.78,0.34,0.55
계속영업이익,13.39,13.96,9.45,0.45,2.35
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,13.39,13.96,9.45,0.45,2.35
