GAAP(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,68.31,86.60,60.69,0.0,0.0
매출원가,45.72,75.14,53.66,0.0,0.0
매출총이익,22.59,11.45,7.03,0.0,0.0
판매비와관리비,39.91,41.16,42.18,0.0,0.0
인건비,13.02,10.86,13.22,0.0,0.0
유무형자산상각비,0.14,0.09,0.05,0.0,0.0
연구개발비,18.39,20.49,20.67,0.0,0.0
광고선전비,0.05,0.23,0.24,0.0,0.0
판매비,0.14,0.16,0.19,0.0,0.0
관리비,8.17,9.32,7.81,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.01,0.0,0.0,0.0
영업이익,-17.33,-29.71,-35.15,0.0,0.0
영업이익(발표기준),-17.33,-29.71,-35.15,0.0,0.0
금융수익,0.68,0.92,0.22,0.0,0.0
이자수익,0.68,0.92,0.22,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.40,3.05,3.70,0.0,0.0
이자비용,1.40,3.05,3.58,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.11,0.0,0.0
기타수익,0.37,0.34,2.23,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.02,0.26,2.17,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.03,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.35,0.08,0.03,0.0,0.0
기타비용,0.95,0.04,1.41,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.60,0.03,1.27,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.11,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.35,0.01,0.03,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-1.18,0.0,0.0
지분법손익,0.0,0.0,-1.18,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-18.63,-31.54,-38.98,0.0,0.0
법인세비용,3.45,7.61,6.59,0.0,0.0
계속영업이익,-22.07,-39.15,-45.58,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-22.07,-39.15,-45.58,0.0,0.0
