IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,306.06","2,203.27","2,828.84",659.82,721.50
매출원가,"1,026.82","1,717.45","2,369.87",559.77,583.98
매출총이익,279.24,485.83,458.97,100.05,137.53
판매비와관리비,104.71,164.93,169.34,44.50,37.94
인건비,60.11,114.57,115.98,30.47,25.13
유무형자산상각비,9.68,7.75,8.85,1.61,1.93
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,2.00,3.60,3.85,1.59,0.75
판매비,5.34,8.31,7.35,1.84,0.99
관리비,23.25,24.40,27.50,7.79,7.65
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.35,6.29,5.81,1.19,1.48
영업이익,174.52,320.90,289.63,55.55,99.59
영업이익(발표기준),174.52,320.90,289.63,55.55,99.59
금융수익,77.21,60.33,124.02,14.40,52.34
이자수익,13.05,23.82,33.51,6.07,4.29
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,63.71,29.37,53.64,4.88,18.62
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.01,0.0,0.44,0.0,0.44
금융자산평가이익,0.43,4.07,10.84,0.0,14.55
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,3.06,25.60,3.44,14.44
금융원가,63.76,37.65,60.31,19.60,8.45
이자비용,7.50,12.80,28.96,7.34,6.73
외환손실,54.97,24.62,12.30,3.00,1.72
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.23,0.0,0.0,0.0
금융자산평가손실,1.29,0.0,19.05,9.26,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,5.85,5.77,7.28,2.02,1.47
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.20,0.18,0.08,0.12,0.06
자산평가이익,0.04,0.07,0.01,0.00,0.00
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.00,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.61,5.52,7.19,1.91,1.41
기타비용,0.46,3.65,1.62,0.05,1.49
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.01,0.00,0.00,0.00
자산평가손실,0.00,0.06,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.44,3.58,1.61,0.05,1.49
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,193.36,345.70,359.01,52.31,143.46
법인세비용,28.76,31.56,34.57,11.71,30.15
계속영업이익,164.60,314.14,324.44,40.60,113.32
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,164.60,314.14,324.44,40.60,113.32
지배주주순이익,164.60,314.14,324.44,40.60,113.32
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
