IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,342.40,340.24,356.54,138.30,156.11
매출원가,276.55,267.87,238.59,77.78,89.98
매출총이익,65.85,72.37,117.95,60.52,66.13
판매비와관리비,113.63,105.91,103.90,28.97,32.67
인건비,56.45,62.66,59.12,0.0,0.0
유무형자산상각비,16.67,5.86,5.96,0.0,0.0
연구개발비,5.24,5.78,6.61,0.0,0.0
광고선전비,2.71,2.68,0.59,0.0,0.0
판매비,8.23,8.32,6.09,2.11,1.86
관리비,24.07,20.43,25.33,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.27,0.18,0.20,26.86,30.81
영업이익,-47.77,-33.54,14.05,31.55,33.46
영업이익(발표기준),-47.77,-33.54,14.05,31.55,33.46
금융수익,30.06,11.45,0.87,0.16,0.20
이자수익,2.57,3.47,0.87,0.16,0.20
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,27.49,7.98,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.01,0.0,0.0
금융원가,21.04,42.99,6.52,0.98,2.34
이자비용,21.04,24.49,6.52,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,3.88,0.0,0.0,0.0
기타금융원가,0.0,14.63,0.0,0.98,2.34
기타수익,12.05,4.66,8.38,0.34,4.71
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,3.33,0.29,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.02,2.71,0.0,0.0
자산처분(폐기)이익,0.0,0.25,4.19,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.34,0.15,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,12.05,0.71,1.04,0.34,4.71
기타비용,11.61,20.18,7.94,0.50,1.93
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,6.09,4.45,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,7.63,0.01,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,5.10,3.20,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,11.61,1.36,0.28,0.50,1.93
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-38.32,-80.60,8.85,30.58,34.09
법인세비용,-3.87,-17.60,2.39,6.42,6.80
계속영업이익,-34.45,-63.00,6.46,24.16,27.29
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-34.45,-63.00,6.46,24.16,27.29
