IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,253.52,115.49,142.13,33.12,39.30
매출원가,201.35,106.15,139.55,31.77,31.61
매출총이익,52.17,9.34,2.58,1.35,7.69
판매비와관리비,16.42,22.54,21.53,5.20,5.77
인건비,6.20,7.05,7.18,1.77,1.82
유무형자산상각비,0.27,0.66,0.79,0.22,0.16
연구개발비,4.76,6.67,6.85,2.02,1.70
광고선전비,0.22,0.71,0.59,0.00,0.22
판매비,0.02,0.29,0.31,0.04,0.12
관리비,4.94,7.07,5.72,1.13,1.73
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.10,0.09,0.01,0.02
영업이익,35.74,-13.20,-18.95,-3.86,1.92
영업이익(발표기준),35.74,-13.20,-18.95,-3.86,1.92
금융수익,0.89,10.86,4.47,0.90,1.44
이자수익,0.82,0.43,0.05,0.01,0.00
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,2.99,4.42,0.88,1.44
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.07,0.01,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,6.39,0.0,0.0,0.0
기타금융수익,0.0,1.04,0.0,0.0,0.0
금융원가,58.77,43.50,4.36,1.96,1.00
이자비용,6.57,5.77,3.28,1.09,0.71
외환손실,0.0,3.44,1.00,0.87,0.29
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.01,0.01,0.08,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,52.19,29.48,0.0,0.0,0.0
기타금융원가,0.0,4.79,0.0,0.0,0.0
기타수익,11.50,0.50,1.07,0.47,0.14
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,10.99,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.02,0.0,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.11,0.03,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.38,0.47,1.05,0.47,0.14
기타비용,3.15,65.05,0.38,0.0,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,2.16,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.98,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,65.05,0.38,0.0,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-13.79,-110.39,-18.15,-4.45,2.50
법인세비용,-3.00,3.41,-0.20,-0.92,-0.04
계속영업이익,-10.79,-113.79,-17.95,-3.53,2.54
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-10.79,-113.79,-17.95,-3.53,2.54
