IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"10,908.67","8,440.29","8,633.56","2,094.70","2,107.10"
매출원가,"7,930.61","6,509.50","6,169.67","1,515.23","1,469.63"
매출총이익,"2,978.06","1,930.79","2,463.89",579.47,637.47
판매비와관리비,907.56,595.91,784.40,218.99,177.01
인건비,154.38,133.62,179.93,42.90,37.74
유무형자산상각비,21.56,22.86,24.40,6.41,6.04
연구개발비,239.52,228.41,265.82,82.14,53.62
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,402.50,113.48,218.11,57.93,58.28
관리비,76.65,88.28,81.74,26.25,18.55
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,12.94,9.27,14.40,3.36,2.78
영업이익,"2,070.51","1,334.88","1,679.49",360.49,460.46
영업이익(발표기준),"2,070.51","1,334.88","1,679.49",360.49,460.46
금융수익,90.57,140.55,259.71,33.09,50.45
이자수익,20.33,96.94,98.35,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,70.24,43.62,161.36,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,33.09,50.45
금융원가,44.36,35.88,8.60,11.05,0.55
이자비용,2.95,0.83,0.81,0.0,0.0
외환손실,41.41,35.06,7.79,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,11.05,0.55
기타수익,314.85,333.36,313.06,32.93,148.12
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,210.81,130.85,123.40,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.09,44.19,0.0,0.0,0.0
자산처분(폐기)이익,1.31,1.90,28.62,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,63.94,105.36,48.25,0.0,0.0
대손충당금환입,0.0,27.62,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,38.71,23.45,112.79,32.93,148.12
기타비용,277.14,159.88,109.71,25.72,24.91
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,182.58,103.72,52.61,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.14,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.31,1.55,2.88,0.0,0.0
자산처분(폐기)손실,6.34,0.00,24.74,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,14.50,31.39,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,37.70,0.0,9.00,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,35.71,23.21,20.33,25.72,24.91
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-462.73,-0.76,5.75
지분법손익,0.0,0.0,-14.47,-0.76,5.75
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,-448.26,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"2,154.43","1,613.04","1,671.21",388.98,639.33
법인세비용,477.70,303.48,475.09,59.06,177.61
계속영업이익,"1,676.73","1,309.55","1,196.12",329.92,461.72
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"1,676.73","1,309.55","1,196.12",329.92,461.72
지배주주순이익,"1,627.94","1,303.63","1,184.37",310.07,458.54
비지배주주순이익,48.79,5.92,11.75,19.85,3.17
