IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,484.73,551.02,596.89,170.44,147.28
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,484.73,551.02,596.89,170.44,147.28
판매비와관리비,436.73,488.69,560.58,172.58,143.25
인건비,313.66,352.23,384.10,108.69,93.31
유무형자산상각비,6.51,11.45,11.89,2.82,2.90
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,14.43,1.77
관리비,106.74,112.55,146.48,42.68,39.47
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,9.82,12.47,18.11,3.96,5.80
영업이익,48.00,62.33,36.30,-2.15,4.03
영업이익(발표기준),48.00,62.33,36.30,-2.15,4.03
금융수익,2.46,3.31,3.68,0.57,0.94
이자수익,2.46,3.31,3.68,0.57,0.94
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.81,3.94,3.63,0.81,0.91
이자비용,3.81,3.94,2.75,0.81,0.91
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.87,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.86,1.28,22.73,0.32,3.14
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.73,0.50,1.27,0.30,0.77
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,18.91,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.13,0.70,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.01,0.01,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,-0.00,0.08,2.54,0.01,2.36
기타비용,1.61,0.69,2.99,0.21,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.86,0.67,0.62,0.21,0.04
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.08,0.0,0.0
자산평가손실,0.73,0.0,2.29,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.00,0.00,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.01,0.01,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",-4.07,-4.38,-19.28,-0.63,-5.59
지분법손익,-4.07,-4.38,-19.28,-0.63,-5.59
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,41.83,57.91,36.82,-2.91,1.56
법인세비용,1.64,2.44,3.23,0.62,0.07
계속영업이익,40.19,55.47,33.59,-3.54,1.49
중단영업이익,-0.92,0.13,0.0,0.0,0.0
당기순이익,39.28,55.60,33.59,-3.54,1.49
지배주주순이익,39.29,55.63,38.39,-1.47,1.57
비지배주주순이익,-0.01,-0.03,-4.80,-2.06,-0.08
