IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,125.25,137.29,147.30,31.45,26.65
매출원가,66.84,75.55,86.97,17.67,13.75
매출총이익,58.42,61.75,60.34,13.78,12.90
판매비와관리비,40.61,46.73,62.70,16.94,17.01
인건비,13.28,16.37,25.05,6.96,5.07
유무형자산상각비,2.46,1.83,2.30,0.63,0.53
연구개발비,15.42,19.03,21.21,3.84,5.92
광고선전비,1.04,1.48,0.69,0.17,0.27
판매비,3.05,-0.17,3.10,0.40,2.02
관리비,5.35,8.18,10.35,4.94,3.22
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,17.80,15.02,-2.36,-3.17,-4.11
영업이익(발표기준),17.80,15.02,-2.36,-3.17,-4.11
금융수익,0.76,1.78,4.47,0.84,0.94
이자수익,0.76,1.78,4.47,0.84,0.94
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.10,0.16,0.65,0.21,0.06
이자비용,0.10,0.16,0.65,0.21,0.06
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.69,2.56,6.75,0.58,2.08
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.46,1.98,6.18,0.58,1.94
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.09,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.01,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.04,0.06,0.06,0.0,0.0
기타,0.18,0.51,0.42,0.00,0.14
기타비용,3.39,2.31,1.62,0.77,0.31
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,3.36,1.85,1.50,0.67,0.20
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.03,0.46,0.12,0.10,0.11
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,17.76,16.89,6.59,-2.72,-1.47
법인세비용,0.60,0.05,-0.05,0.0,0.0
계속영업이익,17.16,16.84,6.64,-2.72,-1.47
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,17.16,16.84,6.64,-2.72,-1.47
지배주주순이익,0.0,16.84,10.00,-2.08,-1.47
비지배주주순이익,0.0,0.0,-3.36,-0.64,0.0
