IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,136.38,116.47,123.94,30.58,26.80
매출원가,107.98,103.74,113.32,22.06,21.85
매출총이익,28.39,12.73,10.61,8.52,4.95
판매비와관리비,41.14,48.12,41.82,13.13,9.17
인건비,13.50,19.85,12.06,4.45,2.91
유무형자산상각비,1.20,1.30,1.42,0.38,0.37
연구개발비,20.43,22.08,23.31,5.09,4.65
광고선전비,0.26,0.18,0.10,0.18,0.00
판매비,0.38,0.17,0.34,0.24,0.05
관리비,3.41,3.12,2.81,1.17,0.66
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.94,1.42,1.78,1.62,0.53
영업이익,-12.75,-35.39,-31.21,-4.61,-4.22
영업이익(발표기준),-12.75,-35.39,-31.21,-4.61,-4.22
금융수익,13.60,9.14,9.27,1.50,2.71
이자수익,3.25,7.54,6.42,1.37,1.70
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,10.35,1.60,2.85,0.13,1.01
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.79,1.66,1.24,0.31,0.20
이자비용,0.57,0.68,0.67,0.15,0.18
외환손실,2.22,0.98,0.56,0.16,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.10,0.45,0.00,0.94,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.43,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,0.02,0.00,0.94,0.00
기타비용,8.70,0.03,10.45,0.01,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,0.06,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,8.70,0.0,10.34,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.03,0.05,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-10.54,-27.49,-33.62,-2.49,-1.71
법인세비용,-0.27,0.10,-0.01,0.02,0.02
계속영업이익,-10.26,-27.59,-33.62,-2.51,-1.73
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-10.26,-27.59,-33.62,-2.51,-1.73
지배주주순이익,-10.26,-27.59,-33.62,-2.51,-1.73
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
