IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,181.45,104.84,58.90,10.19,20.56
매출원가,119.25,88.49,59.96,6.41,8.52
매출총이익,62.21,16.34,-1.06,3.78,12.04
판매비와관리비,84.92,102.49,90.15,25.88,28.12
인건비,15.71,17.79,19.68,4.85,4.46
유무형자산상각비,6.29,12.23,14.06,4.38,3.39
연구개발비,40.74,58.85,42.93,13.07,16.85
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.12,0.10,0.10,0.02,0.03
관리비,20.16,12.07,12.15,3.22,3.15
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.90,1.46,1.21,0.33,0.25
영업이익,-22.72,-86.15,-91.21,-22.09,-16.07
영업이익(발표기준),-22.72,-86.15,-91.21,-22.09,-16.07
금융수익,9.57,12.10,8.12,0.48,2.45
이자수익,2.58,7.01,4.76,0.46,1.40
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,6.99,1.71,3.36,0.02,1.05
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,3.38,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,10.91,14.91,10.67,0.71,2.35
이자비용,5.21,13.29,6.40,0.15,2.27
외환손실,2.85,1.62,0.34,0.55,0.08
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.34,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,2.52,0.0,3.93,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.02,0.08,0.09,0.10,0.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.08,0.0
충당부채환입액,0.00,0.0,0.0,0.0,0.0
기타,0.02,0.08,0.09,0.02,0.02
기타비용,51.08,1.92,0.71,0.0,0.05
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.02,0.0,0.00,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.88,1.60,0.66,0.0,0.05
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,50.19,0.32,0.04,0.0,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-75.11,-90.80,-94.37,-22.22,-16.00
법인세비용,-5.28,2.98,0.0,0.0,0.0
계속영업이익,-69.83,-93.77,-94.37,-22.22,-16.00
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-69.83,-93.77,-94.37,-22.22,-16.00
