IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,499.57,332.92,297.98,78.14,77.57
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,499.57,332.92,297.98,78.14,77.57
판매비와관리비,467.72,378.33,367.73,97.69,83.81
인건비,168.11,180.86,199.52,57.08,47.57
유무형자산상각비,8.68,12.33,33.55,9.09,7.94
연구개발비,0.0,3.15,3.50,0.0,0.0
광고선전비,1.78,1.78,2.48,0.40,0.70
판매비,0.14,0.11,0.23,-0.08,0.14
관리비,289.01,179.25,127.25,30.55,27.14
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.86,1.20,0.65,0.32
영업이익,31.85,-45.41,-69.75,-19.55,-6.24
영업이익(발표기준),31.85,-45.41,-69.75,-19.55,-6.24
금융수익,5.43,8.78,8.08,1.99,2.07
이자수익,2.00,4.15,1.58,0.49,0.92
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,3.43,4.63,6.50,1.50,1.15
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,5.02,0.65,2.15,1.08,0.25
이자비용,0.34,0.61,1.20,0.65,0.24
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,4.67,0.04,0.95,0.32,0.01
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.10,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,10.15,5.85,5.76,1.63,1.40
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,8.64,5.12,5.28,1.51,1.31
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.04,0.24,0.16,0.0,0.02
자산평가이익,0.11,0.06,0.10,0.03,0.02
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.29,0.12,0.04,0.01,0.01
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.07,0.31,0.19,0.08,0.04
기타비용,13.74,19.04,5.72,0.74,1.80
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,13.57,3.99,4.32,0.60,1.62
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,0.05,0.16,0.02,0.02
자산평가손실,0.0,0.03,0.44,0.10,0.00
자산손상차손,0.0,14.83,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.12,0.14,0.80,0.02,0.16
"종속기업,공동지배기업및관계기업관련손익",10.18,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,10.18,0.0,0.0,0.0,0.0
세전계속사업이익,38.86,-50.47,-63.78,-17.76,-4.82
법인세비용,-0.79,-18.12,-7.37,0.0,0.0
계속영업이익,39.65,-32.36,-56.40,-17.76,-4.82
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,39.65,-32.36,-56.40,-17.76,-4.82
