IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,188.29,193.86,329.44,71.16,58.70
매출원가,114.71,116.04,193.06,34.45,32.22
매출총이익,73.58,77.82,136.37,36.70,26.49
판매비와관리비,39.40,51.66,64.31,24.28,16.62
인건비,12.18,14.64,19.44,6.48,4.60
유무형자산상각비,0.75,1.26,2.16,0.55,0.57
연구개발비,10.27,17.89,19.26,7.64,5.41
광고선전비,0.99,1.00,1.48,0.78,0.53
판매비,8.60,9.21,11.04,3.35,2.28
관리비,6.62,7.66,10.92,5.48,3.22
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.00,0.0,0.00
영업이익,34.18,26.17,72.07,12.42,9.87
영업이익(발표기준),34.18,26.17,72.07,12.42,9.87
금융수익,7.06,6.12,11.56,1.55,2.83
이자수익,2.77,4.14,3.69,0.95,0.76
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.01,1.75,7.52,0.49,1.95
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.28,0.23,0.35,0.07,0.13
금융자산평가이익,0.0,0.0,0.0,0.04,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.61,1.54,3.20,0.76,0.44
이자비용,0.42,0.45,1.57,0.36,0.41
외환손실,3.19,1.09,1.64,0.40,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.00,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.79,0.20,1.23,1.25,1.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.79,0.20,1.23,1.25,1.02
기타비용,54.82,0.89,0.66,0.61,0.47
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,54.82,0.89,0.66,0.61,0.47
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-16.39,30.05,80.99,13.86,12.82
법인세비용,0.92,1.54,9.47,0.25,0.64
계속영업이익,-17.31,28.51,71.52,13.61,12.18
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-17.31,28.51,71.52,13.61,12.18
지배주주순이익,-17.31,28.51,71.52,13.61,12.18
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
