IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,191.48,89.40,362.65,68.90,46.78
매출원가,148.74,86.03,295.74,51.64,31.55
매출총이익,42.74,3.37,66.91,17.26,15.23
판매비와관리비,79.17,84.25,133.12,30.63,27.00
인건비,19.05,19.00,37.07,9.60,6.92
유무형자산상각비,13.25,21.29,36.36,9.08,7.56
연구개발비,22.67,25.86,20.04,2.91,5.44
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,2.08,0.88,2.15,0.21,0.07
관리비,17.14,10.84,21.74,4.26,4.17
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.99,6.39,15.74,4.57,2.84
영업이익,-36.43,-80.88,-66.21,-13.38,-11.76
영업이익(발표기준),-36.43,-80.88,-66.21,-13.38,-11.76
금융수익,4.65,4.17,3.26,0.92,0.73
이자수익,0.72,2.20,0.98,0.33,0.17
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.90,0.88,2.18,0.60,0.46
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,1.09,0.0,0.0,0.0
기타금융수익,0.03,0.0,0.10,0.0,0.10
금융원가,4.67,17.33,22.32,2.30,2.31
이자비용,3.65,5.34,8.08,1.96,1.95
외환손실,1.02,0.89,0.75,0.34,0.36
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,11.10,0.0,0.0,0.0
금융자산평가손실,0.01,0.00,0.00,0.00,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,13.48,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.59,0.13,7.26,0.44,7.06
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.49,0.0,0.11,0.03,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.05,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.05,0.13,7.14,0.41,7.06
기타비용,0.04,7.74,6.90,0.30,2.81
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.02,0.43,0.22,0.28,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,7.30,6.20,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.30,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.01,0.17,0.02,2.81
"종속기업,공동지배기업및관계기업관련손익",-0.08,0.0,-0.30,0.0,-0.30
지분법손익,-0.08,0.0,-0.30,0.0,-0.30
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-35.99,-101.63,-85.20,-14.61,-9.40
법인세비용,-0.94,-1.22,-4.92,-0.95,-0.65
계속영업이익,-35.05,-100.41,-80.28,-13.67,-8.74
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-35.05,-100.41,-80.28,-13.67,-8.74
지배주주순이익,-33.76,-95.64,-76.55,-12.68,-7.45
비지배주주순이익,-1.29,-4.77,-3.74,-0.99,-1.29
