IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,10.20,11.24,19.34,3.30,5.22
매출원가,27.63,29.80,33.26,6.65,6.99
매출총이익,-17.43,-18.57,-13.92,-3.36,-1.77
판매비와관리비,65.56,68.49,79.38,22.23,18.81
인건비,19.89,18.86,22.78,7.68,4.39
유무형자산상각비,5.90,5.68,5.85,1.69,1.34
연구개발비,25.96,27.53,27.28,6.01,9.28
광고선전비,2.68,3.15,1.55,0.52,0.26
판매비,0.17,0.72,3.25,1.50,0.08
관리비,10.92,12.54,18.68,4.84,3.46
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.03,0.00,0.00,0.0,0.0
영업이익,-82.99,-87.06,-93.30,-25.58,-20.57
영업이익(발표기준),-82.99,-87.06,-93.30,-25.58,-20.57
금융수익,1.26,0.54,2.23,0.59,0.05
이자수익,1.14,0.51,2.01,0.49,0.04
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.12,0.04,0.19,0.03,0.01
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.06,0.0
금융자산평가이익,0.0,0.0,0.03,0.00,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.87,2.87,3.41,0.77,0.78
이자비용,0.03,0.03,0.04,0.01,0.01
외환손실,0.01,0.01,0.06,0.09,0.00
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.01,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,1.83,2.82,3.31,0.66,0.77
기타수익,0.44,0.73,0.55,0.27,0.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.21,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.37,0.0,0.0,0.0
기타,0.44,0.14,0.55,0.27,0.02
기타비용,0.27,4.15,1.50,0.01,1.37
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.0,1.30,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,1.54,0.0,0.0,1.30
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,2.33,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.26,0.28,0.20,0.01,0.07
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-83.42,-92.81,-95.43,-25.50,-22.66
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-83.42,-92.81,-95.43,-25.50,-22.66
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-83.42,-92.81,-95.43,-25.50,-22.66
지배주주순이익,-83.42,-92.81,-95.43,-25.50,-22.66
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
