IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,222.95,241.52,296.36,60.50,74.50
매출원가,157.50,180.20,250.01,58.33,60.16
매출총이익,65.46,61.32,46.36,2.17,14.34
판매비와관리비,37.19,43.76,57.06,8.35,13.59
인건비,16.80,20.55,18.06,0.0,0.0
유무형자산상각비,1.34,2.97,2.58,0.0,0.0
연구개발비,10.19,15.48,20.09,0.0,0.0
광고선전비,0.0,0.42,0.53,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,6.06,7.83,5.47,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.79,-3.49,10.32,8.35,13.59
영업이익,28.27,17.56,-10.70,-6.18,0.76
영업이익(발표기준),28.27,17.56,-10.70,-6.18,0.76
금융수익,1.11,4.79,8.67,1.39,2.42
이자수익,1.11,4.79,8.67,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,1.39,2.42
금융원가,0.62,0.45,1.11,0.18,0.33
이자비용,0.62,0.45,1.11,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.18,0.33
기타수익,1.14,2.94,2.16,0.87,0.23
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.29,0.38,1.61,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.05,0.05,0.04,0.0,0.0
자산처분(폐기)이익,0.01,0.03,0.00,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.31,0.43,0.0,0.0,0.0
기타,0.49,2.05,0.51,0.87,0.23
기타비용,1.04,0.26,0.21,0.85,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.29,0.19,0.12,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.65,0.01,0.03,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,0.06,0.05,0.85,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,28.86,24.58,-1.18,-4.94,3.06
법인세비용,0.96,-0.40,0.25,0.0,0.0
계속영업이익,27.90,24.99,-1.43,-4.94,3.06
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,27.90,24.99,-1.43,-4.94,3.06
