IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,164.41","1,729.29","2,841.71",516.87,730.16
매출원가,"2,026.55","1,620.79","2,629.67",491.78,670.15
매출총이익,137.86,108.50,212.05,25.09,60.01
판매비와관리비,91.82,86.79,97.11,21.53,24.90
인건비,45.47,42.25,43.81,10.37,10.31
유무형자산상각비,7.39,9.19,7.99,1.93,2.02
연구개발비,4.02,3.70,4.12,0.72,1.12
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,2.94,2.57,2.04,0.35,0.52
관리비,21.77,21.99,23.87,4.79,6.21
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,10.24,7.09,15.28,3.37,4.73
영업이익,46.03,21.72,114.94,3.56,35.11
영업이익(발표기준),46.03,21.72,114.94,3.56,35.11
금융수익,5.62,20.81,22.79,5.94,5.03
이자수익,5.62,20.81,22.79,5.94,5.03
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,7.64,7.01,6.70,1.67,1.65
이자비용,7.64,7.01,6.70,1.67,1.65
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,136.66,65.78,128.63,8.14,29.72
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,131.07,63.52,125.93,7.72,29.46
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.29,0.14,0.03,0.03,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.30,2.12,2.67,0.40,0.26
기타비용,113.86,64.66,70.17,10.20,12.65
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,103.06,52.97,62.32,9.90,12.52
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.19,0.11,0.14,0.04,0.06
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,8.37,9.50,7.00,0.03,0.03
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.24,2.08,0.71,0.23,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,66.82,36.63,189.48,5.77,55.57
법인세비용,28.65,27.45,53.80,4.61,9.74
계속영업이익,38.17,9.19,135.68,1.16,45.83
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,38.17,9.19,135.68,1.16,45.83
지배주주순이익,38.17,9.19,135.68,1.16,45.83
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
