IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"5,213.64","6,153.63","7,662.35","2,119.05","1,763.47"
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,"5,213.64","6,153.63","7,662.35","2,119.05","1,763.47"
판매비와관리비,"5,668.48","6,719.53","8,237.22","2,074.93","1,860.51"
인건비,"1,749.40","2,031.24","2,154.45",583.70,529.64
유무형자산상각비,391.83,466.00,524.70,121.56,122.54
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,545.14,564.51,655.30,181.00,133.68
판매비,0.0,7.90,318.11,1.13,-0.10
관리비,"2,750.95","3,282.44","3,725.96",952.69,884.10
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,231.16,367.43,858.69,234.85,190.65
영업이익,-454.84,-565.90,-574.86,44.11,-97.04
영업이익(발표기준),-454.84,-565.90,-574.86,44.11,-97.04
금융수익,399.91,683.82,657.77,143.57,157.81
이자수익,372.56,639.25,625.78,143.57,155.10
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.59,0.80,6.69,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,41.94,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,2.45,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,26.76,1.83,22.85,0.00,2.71
금융원가,65.33,128.08,55.80,16.86,20.07
이자비용,62.96,59.29,52.51,0.0,0.0
외환손실,0.01,0.05,0.02,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.42,67.12,3.25,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,1.93,1.62,0.02,16.86,20.07
기타수익,94.90,97.24,57.97,22.93,13.89
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,3.26,11.74,28.11,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,12.14,1.83,0.37,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,1.32,0.21,0.0,0.0
기타,79.50,82.35,29.28,22.93,13.89
기타비용,63.20,159.10,189.56,20.26,35.93
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.09,12.60,25.10,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,20.74,4.35,23.47,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,20.79,4.27,15.90,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.17,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,17.58,137.72,125.09,20.26,35.93
"종속기업,공동지배기업및관계기업관련손익",12.25,15.56,50.67,30.29,16.51
지분법손익,12.25,15.56,50.67,30.29,16.51
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-76.31,-56.46,-53.81,203.79,35.16
법인세비용,-344.60,172.61,161.57,60.10,33.48
계속영업이익,268.30,-229.07,-215.38,143.69,1.67
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,268.30,-229.07,-215.38,143.69,1.67
지배주주순이익,539.83,25.16,-137.18,132.95,37.72
비지배주주순이익,-271.53,-254.23,-78.20,10.73,-36.05
