IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,243.19,263.32,233.02,31.26,43.74
매출원가,212.86,244.76,230.41,29.54,46.66
매출총이익,30.32,18.56,2.61,1.72,-2.92
판매비와관리비,57.13,59.14,67.84,12.75,19.42
인건비,19.65,21.29,26.00,4.71,6.45
유무형자산상각비,1.08,1.71,1.81,0.64,0.42
연구개발비,25.80,19.97,28.80,4.13,9.46
광고선전비,0.07,0.23,0.87,0.01,0.55
판매비,0.22,1.44,-0.32,0.07,-0.92
관리비,10.31,14.49,10.68,3.19,3.46
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-26.80,-40.57,-65.23,-11.03,-22.34
영업이익(발표기준),-26.80,-40.57,-65.23,-11.03,-22.34
금융수익,0.26,2.27,20.68,0.44,0.26
이자수익,0.23,2.27,2.09,0.36,0.26
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.03,0.0,0.0,0.08,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,18.59,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,71.78,3.42,23.28,1.02,1.81
이자비용,5.17,3.42,10.00,1.00,1.81
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.22,0.02,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,66.61,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,13.05,0.0,0.0
기타수익,2.79,2.78,2.41,0.73,0.60
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.12,2.07,1.29,0.09,0.24
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.67,0.71,1.12,0.64,0.36
기타비용,16.49,6.30,2.77,0.27,0.34
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.54,1.53,2.35,0.19,0.33
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.31,0.08,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,4.42,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.10,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,11.95,0.36,0.01,0.00,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,1.04,0.0,0.0
지분법손익,0.0,0.0,1.04,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-112.03,-45.24,-67.16,-11.14,-23.63
법인세비용,-4.01,0.0,0.0,0.0,0.0
계속영업이익,-108.01,-45.24,-67.16,-11.14,-23.63
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-108.01,-45.24,-67.16,-11.14,-23.63
지배주주순이익,-107.52,-43.73,-65.42,-10.93,-23.17
비지배주주순이익,-0.49,-1.51,-1.74,-0.22,-0.46
