IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,432.00","1,372.56","1,498.51",972.02,473.78
매출원가,"1,256.66","1,216.70","1,286.08",924.93,378.36
매출총이익,175.34,155.86,212.43,47.09,95.41
판매비와관리비,66.43,109.45,88.14,21.03,23.27
인건비,35.04,49.63,53.81,10.98,12.01
유무형자산상각비,4.27,5.42,7.19,1.73,1.78
연구개발비,8.08,24.73,3.14,2.30,3.11
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,15.98,25.98,20.30,4.69,5.29
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.06,3.69,3.68,1.33,1.08
영업이익,108.92,46.41,124.29,26.07,72.14
영업이익(발표기준),108.92,46.41,124.29,26.07,72.14
금융수익,65.02,111.72,99.06,19.15,28.41
이자수익,8.00,9.48,14.09,2.26,2.51
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,20.21,18.88,49.91,14.97,16.11
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,4.56,0.76,0.0
금융자산평가이익,0.08,0.12,2.95,0.37,0.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,32.25,79.11,23.98,0.0,8.59
기타금융수익,4.49,4.13,3.57,0.79,1.16
금융원가,14.06,104.37,74.81,5.95,34.95
이자비용,1.26,3.29,5.66,1.21,1.55
외환손실,10.84,12.08,5.79,2.45,0.99
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.01,0.0,0.01,0.0,0.01
금융자산평가손실,0.09,0.17,3.10,0.0,0.09
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,87.50,59.56,0.0,31.93
기타금융원가,1.87,1.34,0.69,2.29,0.38
기타수익,0.44,0.83,3.31,0.36,0.25
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.00,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.32,0.09,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.40,0.23,1.26,0.0,0.08
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.04,0.28,1.96,0.36,0.17
기타비용,36.87,8.60,34.87,0.03,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.91,0.03,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,8.33,33.94,0.0,0.0
충당부채전입액,0.0,0.19,0.0,0.0,0.0
기타,36.87,0.08,0.01,0.0,0.01
"종속기업,공동지배기업및관계기업관련손익",58.86,5.48,-55.26,-24.39,-28.20
지분법손익,58.86,5.48,-55.26,-24.39,-28.20
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,182.31,51.47,61.72,15.21,37.64
법인세비용,30.50,-4.43,24.33,7.39,13.69
계속영업이익,151.81,55.90,37.39,7.82,23.95
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,151.81,55.90,37.39,7.82,23.95
지배주주순이익,151.81,55.90,37.39,7.82,23.95
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
