IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,141.58,154.34,168.05,44.90,39.72
매출원가,79.54,86.26,89.27,22.17,24.11
매출총이익,62.04,68.09,78.77,22.73,15.61
판매비와관리비,56.02,61.05,61.73,18.76,14.22
인건비,26.42,28.53,23.68,7.29,5.74
유무형자산상각비,4.81,8.11,7.79,1.77,1.75
연구개발비,10.77,11.71,15.52,4.71,3.78
광고선전비,0.96,1.23,1.58,0.23,0.21
판매비,1.20,0.32,-0.32,0.00,-0.12
관리비,11.58,7.75,10.18,3.70,1.99
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.28,3.40,3.31,1.06,0.86
영업이익,6.03,7.04,17.05,3.98,1.39
영업이익(발표기준),6.03,7.04,17.05,3.98,1.39
금융수익,0.15,31.31,1.12,0.20,0.21
이자수익,0.15,0.30,0.54,0.11,0.11
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.06,0.55,0.06,0.07
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.00,0.0
금융자산평가이익,0.0,0.0,0.04,0.04,0.02
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,30.95,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.79,15.06,75.65,0.74,3.90
이자비용,2.79,14.98,14.94,0.72,3.88
외환손실,0.0,0.07,0.12,0.02,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.00,0.0
금융자산평가손실,0.0,0.01,0.04,0.0,0.01
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,60.55,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.62,0.17,0.82,0.11,0.06
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.18,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.05,0.0,0.09,0.06,0.05
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,1.71,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.68,0.17,0.72,0.05,0.02
기타비용,3.66,1.91,0.66,0.06,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.04,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.36,0.91,0.54,0.0,0.00
자산평가손실,0.13,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.49,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.02,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.12,0.52,0.12,0.06,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,2.34,21.54,-57.33,3.50,-2.24
법인세비용,-0.93,0.51,2.14,0.51,0.0
계속영업이익,3.27,21.03,-59.47,2.98,-2.24
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,3.27,21.03,-59.47,2.98,-2.24
