IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,100.83,69.67,64.55,26.28,17.59
매출원가,92.34,68.84,63.74,23.23,17.17
매출총이익,8.49,0.83,0.81,3.05,0.42
판매비와관리비,105.25,101.62,123.41,26.87,28.88
인건비,31.16,41.11,52.55,10.91,14.47
유무형자산상각비,4.50,6.70,10.67,3.67,2.59
연구개발비,53.27,22.03,21.94,6.45,3.97
광고선전비,3.65,1.80,1.37,0.27,0.45
판매비,1.47,8.11,8.72,0.42,0.66
관리비,11.20,21.86,28.12,5.15,6.73
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.02,0.0,0.0
영업이익,-96.76,-100.79,-122.60,-23.82,-28.46
영업이익(발표기준),-96.76,-100.79,-122.60,-23.82,-28.46
금융수익,3.07,4.95,4.34,0.67,1.25
이자수익,1.33,4.49,3.95,0.59,0.98
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.07,0.46,0.39,0.08,0.27
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.67,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.15,1.17,2.02,0.58,0.59
이자비용,0.08,0.47,1.54,0.53,0.36
외환손실,0.07,0.70,0.48,0.05,0.23
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.18,0.92,0.50,0.19,0.15
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.02,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.18,0.92,0.49,0.18,0.15
기타비용,0.19,0.77,2.96,0.14,0.39
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.09,0.44,0.22,0.14,0.07
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.07,0.17,0.30,0.0,0.27
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.03,0.15,2.44,0.0,0.05
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-93.85,-96.84,-122.73,-23.66,-28.05
법인세비용,0.0,0.0,0.0,0.0,0.00
계속영업이익,-93.85,-96.84,-122.73,-23.66,-28.05
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-93.85,-96.84,-122.73,-23.66,-28.05
지배주주순이익,-93.85,-96.84,-122.73,-23.66,-28.05
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
