IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,100.12,195.95,153.28,48.01,24.84
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,100.12,195.95,153.28,48.01,24.84
판매비와관리비,352.73,354.58,399.41,114.11,95.89
인건비,205.49,49.17,54.48,12.98,11.28
유무형자산상각비,14.45,9.04,8.87,2.07,2.24
연구개발비,0.0,271.84,309.00,88.28,75.43
광고선전비,0.93,0.73,0.29,0.08,0.23
판매비,0.10,0.0,0.0,0.0,0.0
관리비,41.74,23.10,25.81,10.47,6.45
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,90.02,0.71,0.94,0.23,0.25
영업이익,-252.61,-158.64,-246.12,-66.10,-71.06
영업이익(발표기준),-252.61,-158.64,-246.12,-66.10,-71.06
금융수익,14.09,15.02,25.65,5.52,3.80
이자수익,6.43,9.88,14.35,5.18,1.92
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,5.42,5.14,10.05,0.45,1.88
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.19,-0.12,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,1.06,0.0,0.0
기타금융수익,2.24,0.0,0.0,0.0,0.0
금융원가,10.67,12.48,44.86,3.21,4.16
이자비용,5.50,7.92,9.65,2.27,2.50
외환손실,5.17,4.56,6.58,0.93,1.67
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,28.62,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.76,11.25,2.06,0.14,0.37
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.76,11.25,2.06,0.14,0.37
기타비용,4.02,0.26,4.96,0.02,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.33,0.22,0.03,0.02,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.70,0.04,4.92,0.00,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-248.46,-145.10,-268.22,-63.67,-71.06
법인세비용,3.80,3.46,4.65,0.0,0.0
계속영업이익,-252.27,-148.56,-272.87,-63.67,-71.06
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-252.27,-148.56,-272.87,-63.67,-71.06
지배주주순이익,-252.27,-148.56,-272.87,-63.67,-71.06
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
