IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,596.29,532.57,652.51,153.81,137.43
매출원가,301.77,326.90,375.52,85.62,82.09
매출총이익,294.52,205.67,276.98,68.19,55.35
판매비와관리비,191.66,198.15,229.31,62.52,55.12
인건비,89.43,92.13,109.09,27.58,23.72
유무형자산상각비,16.62,22.27,23.79,6.90,6.08
연구개발비,23.69,22.65,25.09,6.91,6.06
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,1.49,-6.33,-0.54,4.47,0.99
관리비,51.48,62.55,67.63,15.78,17.12
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.95,4.88,4.24,0.88,1.15
영업이익,102.86,7.52,47.67,5.67,0.22
영업이익(발표기준),102.86,7.52,47.67,5.67,0.22
금융수익,8.07,29.68,16.96,3.56,3.55
이자수익,3.87,23.36,8.73,2.95,2.79
배당금수익,0.0,0.0,0.20,0.0,0.0
외환이익,4.21,6.13,5.60,0.26,0.75
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.05,2.43,0.0,0.01
금융자산평가이익,0.0,0.14,0.0,0.34,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,12.79,11.66,15.51,5.00,4.23
이자비용,3.73,11.07,14.08,3.81,3.46
외환손실,8.78,0.60,1.37,1.19,0.77
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.28,0.0,0.01,0.0,0.0
금융자산평가손실,0.0,0.0,0.06,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.13,3.55,7.87,0.03,2.71
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.22,0.04,0.44,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.91,3.51,7.43,0.03,2.71
기타비용,13.02,0.58,26.95,0.54,0.06
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,0.43,19.18,0.01,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,6.74,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,12.44,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.53,0.15,1.03,0.53,0.05
"종속기업,공동지배기업및관계기업관련손익",-3.41,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-3.41,0.0,0.0,0.0,0.0
세전계속사업이익,83.85,28.51,30.05,3.71,2.19
법인세비용,19.51,2.27,1.47,0.67,-0.33
계속영업이익,64.34,26.24,28.57,3.04,2.52
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,64.34,26.24,28.57,3.04,2.52
지배주주순이익,64.34,26.24,28.57,3.04,2.52
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
