IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,276.59,258.56,308.66,70.02,50.94
매출원가,135.18,155.86,117.07,33.39,29.17
매출총이익,141.42,102.70,191.59,36.63,21.78
판매비와관리비,95.78,129.70,171.32,43.50,38.48
인건비,49.37,72.39,92.01,21.32,21.18
유무형자산상각비,2.96,4.31,6.09,1.54,1.49
연구개발비,16.18,22.55,34.21,9.31,7.64
광고선전비,2.43,3.59,4.72,3.30,1.62
판매비,11.41,8.06,11.59,2.98,0.93
관리비,13.43,18.81,22.71,5.06,5.63
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.0,0.0,0.0,0.0
영업이익,45.63,-27.01,20.27,-6.88,-16.70
영업이익(발표기준),45.63,-27.01,20.27,-6.88,-16.70
금융수익,1.83,4.70,9.84,2.57,2.60
이자수익,1.42,4.56,9.31,2.37,2.43
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.20,0.14,0.53,0.20,0.17
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.13,0.01,0.0,0.0,0.0
금융자산평가이익,0.08,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,13.13,1.21,0.88,0.19,0.34
이자비용,2.42,0.96,0.79,0.14,0.21
외환손실,0.65,0.26,0.10,0.05,0.13
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.70,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,9.36,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.36,0.01,0.25,0.03,0.20
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.01,0.0,0.00,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.36,0.01,0.25,0.02,0.20
기타비용,0.01,0.02,0.01,0.02,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.02,0.01,0.02,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,34.69,-23.53,29.46,-4.49,-14.23
법인세비용,2.79,-5.57,-7.37,0.0,1.25
계속영업이익,31.90,-17.96,36.83,-4.49,-15.48
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,31.90,-17.96,36.83,-4.49,-15.48
