IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,619.87","1,368.85","1,420.76",353.26,326.25
매출원가,"1,378.96","1,133.03","1,240.50",329.82,286.83
매출총이익,240.91,235.82,180.25,23.43,39.42
판매비와관리비,96.32,100.13,118.28,34.26,27.01
인건비,51.51,56.55,62.84,18.02,13.90
유무형자산상각비,9.29,9.26,9.19,2.17,2.27
연구개발비,0.13,0.05,0.0,0.0,0.0
광고선전비,0.64,1.06,1.22,0.63,0.43
판매비,11.90,12.85,14.90,3.62,3.29
관리비,22.08,19.57,29.40,9.68,6.90
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.79,0.80,0.73,0.14,0.22
영업이익,144.59,135.68,61.97,-10.83,12.41
영업이익(발표기준),144.59,135.68,61.97,-10.83,12.41
금융수익,10.41,19.17,29.60,4.16,10.56
이자수익,9.49,19.13,29.59,4.14,10.56
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.92,0.03,0.01,0.02,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,7.90,15.26,13.21,2.59,5.90
이자비용,7.90,15.21,12.87,2.57,5.70
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.04,0.16,0.02,0.02
금융자산처분손실,0.0,0.0,0.19,0.0,0.19
금융자산평가손실,0.0,0.0,0.00,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,36.75,35.28,29.28,3.14,11.98
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,24.51,12.47,9.30,2.74,3.47
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.00,1.12,0.03,0.0,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,10.29,14.40,19.45,0.34,8.71
임대료수익,1.83,4.22,0.08,0.02,0.02
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.13,3.07,0.42,0.04,-0.24
기타비용,77.34,22.96,31.47,3.32,7.17
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,38.78,11.55,22.81,1.99,4.61
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.03,0.03,0.41,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,38.53,7.66,6.32,1.33,2.55
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.0,3.72,1.94,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,106.51,151.92,76.16,-9.44,21.89
법인세비용,22.41,29.67,19.25,1.86,5.16
계속영업이익,84.11,122.24,56.91,-11.29,16.73
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,84.11,122.24,56.91,-11.29,16.73
지배주주순이익,84.11,121.59,56.73,-9.58,16.08
비지배주주순이익,0.0,0.66,0.18,-1.71,0.65
