IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,216.66,120.73,62.60,20.69,20.04
매출원가,83.38,44.10,25.71,15.01,6.26
매출총이익,133.28,76.63,36.89,5.68,13.78
판매비와관리비,80.32,97.81,102.22,18.07,25.84
인건비,13.87,15.94,17.66,4.31,4.20
유무형자산상각비,0.43,0.61,0.75,0.19,0.19
연구개발비,39.81,61.00,66.54,10.26,17.13
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,10.65,3.20,0.34,-1.01,0.05
관리비,12.37,12.39,13.32,3.06,3.56
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.19,4.69,3.62,1.26,0.70
영업이익,52.96,-21.18,-65.34,-12.39,-12.06
영업이익(발표기준),52.96,-21.18,-65.34,-12.39,-12.06
금융수익,5.16,21.19,14.14,2.41,3.95
이자수익,2.29,17.16,14.14,2.41,3.95
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.13,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,1.17,0.13,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.05,1.41,0.38,0.07,0.11
이자비용,0.39,0.37,0.38,0.07,0.11
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.01,0.78,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.41,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,1.24,0.27,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.52,2.26,7.11,0.36,2.56
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.33,1.07,6.40,0.36,1.90
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.03,0.01,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.19,1.15,0.71,0.00,0.65
기타비용,1.80,0.83,1.92,0.63,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.68,0.57,0.04,0.44,0.00
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.04,0.74,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,1.00,0.0,0.0,0.0,0.0
기타,0.12,0.23,1.14,0.19,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,-0.23,-0.51,0.0,-0.26
지분법손익,0.0,-0.23,-0.51,0.0,-0.26
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,55.79,-0.22,-46.89,-10.31,-5.93
법인세비용,14.65,-3.36,-12.10,0.0,-10.91
계속영업이익,41.13,3.14,-34.79,-10.31,4.98
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,41.13,3.14,-34.79,-10.31,4.98
지배주주순이익,41.13,3.14,-34.79,-10.31,4.98
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
