IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,272.10,263.94,308.67,35.79,31.78
매출원가,215.76,214.76,248.84,27.10,26.97
매출총이익,56.34,49.18,59.82,8.69,4.81
판매비와관리비,40.18,52.84,79.47,18.24,16.85
인건비,22.00,30.86,36.95,9.53,8.58
유무형자산상각비,2.21,3.88,5.11,1.39,1.20
연구개발비,4.75,4.51,11.74,3.27,2.54
광고선전비,0.42,1.08,1.35,0.56,0.61
판매비,0.09,0.02,8.93,0.01,0.01
관리비,10.67,12.48,15.38,3.48,3.92
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.04,0.01,0.0,0.0,0.0
영업이익,16.16,-3.66,-19.65,-9.55,-12.04
영업이익(발표기준),16.16,-3.66,-19.65,-9.55,-12.04
금융수익,1.29,6.41,5.67,1.32,1.42
이자수익,1.29,4.50,2.42,0.38,0.71
배당금수익,0.0,0.0,0.12,0.0,0.0
외환이익,0.0,0.19,0.01,0.00,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.00,0.0,0.0,0.29,0.18
금융자산평가이익,0.00,0.61,3.13,0.64,0.53
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,1.11,0.0,0.0,0.0
금융원가,14.60,1.97,1.39,2.32,0.20
이자비용,1.98,1.95,0.83,0.18,0.18
외환손실,0.29,0.02,0.08,0.0,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.12,0.00,0.0,0.0,0.0
금융자산평가손실,0.00,0.0,0.48,2.14,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,12.20,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.71,0.61,0.35,1.51,0.19
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.35,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,1.46,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.71,0.26,0.35,0.05,0.19
기타비용,0.01,48.59,4.69,0.10,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.03,0.00,0.08,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,1.54,4.58,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,47.02,0.11,0.02,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,3.55,-47.21,-19.70,-9.15,-10.64
법인세비용,1.45,-1.30,-7.78,0.0,0.0
계속영업이익,2.10,-45.90,-11.91,-9.15,-10.64
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,2.10,-45.90,-11.91,-9.15,-10.64
