IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,347.35,300.41,269.56,135.87,94.58
매출원가,239.78,217.37,215.42,108.49,77.51
매출총이익,107.57,83.04,54.14,27.39,17.06
판매비와관리비,46.82,43.40,46.06,16.46,10.04
인건비,18.79,17.98,21.90,7.32,4.88
유무형자산상각비,1.77,1.79,2.39,0.92,0.57
연구개발비,11.08,9.27,9.72,2.71,1.12
광고선전비,0.0,0.10,0.0,0.0,0.0
판매비,3.63,2.34,1.81,1.60,0.76
관리비,11.55,11.92,10.24,3.91,2.71
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,60.75,39.64,8.08,10.92,7.03
영업이익(발표기준),60.75,39.64,8.08,10.92,7.03
금융수익,4.22,5.98,11.26,1.02,3.21
이자수익,0.75,3.38,6.55,0.77,1.80
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.69,1.33,4.65,0.25,1.41
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.00,1.21,0.0,0.0,0.0
금융자산평가이익,0.77,0.06,0.06,0.0,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.00
금융원가,4.77,8.42,0.59,1.74,0.06
이자비용,0.52,4.41,0.09,1.00,0.01
외환손실,3.29,1.23,0.50,0.71,0.05
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.03,0.0,0.0,0.0
금융자산평가손실,0.96,0.0,0.0,0.03,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,2.75,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.33,1.50,1.68,0.82,0.30
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.26,0.15,0.00,0.26,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.00,1.02,1.44,0.43,0.26
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.07,0.32,0.23,0.12,0.04
기타비용,3.17,0.13,1.01,0.38,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.74,0.24,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.17,0.13,0.27,0.14,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-2.30,-0.79,0.0
지분법손익,0.0,0.0,-2.30,-0.79,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,58.36,38.56,17.11,9.85,10.47
법인세비용,10.05,6.68,-2.52,0.26,1.47
계속영업이익,48.31,31.88,19.62,9.60,9.00
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,48.31,31.88,19.62,9.60,9.00
지배주주순이익,48.31,31.88,19.62,9.38,9.00
비지배주주순이익,0.0,0.0,0.0,0.22,0.0
