IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,564.02,224.71,435.03,192.19,23.32
매출원가,118.71,113.75,377.34,90.63,18.60
매출총이익,445.31,110.96,57.69,101.56,4.72
판매비와관리비,430.23,696.65,"1,008.17",221.42,167.01
인건비,64.50,107.07,167.57,66.48,30.64
유무형자산상각비,6.72,9.12,12.96,3.84,2.98
연구개발비,308.05,517.42,660.93,127.88,103.44
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.11,-0.11,0.0,0.0
관리비,50.43,62.38,152.76,22.90,29.79
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.53,0.56,14.06,0.32,0.16
영업이익,15.07,-585.69,-950.48,-119.86,-162.29
영업이익(발표기준),15.07,-585.69,-950.48,-119.86,-162.29
금융수익,16.61,41.76,62.26,5.38,18.06
이자수익,2.00,21.98,20.24,2.73,8.44
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,13.55,9.40,21.08,2.56,0.49
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,6.89,20.71,0.0,0.37
금융자산평가이익,0.04,3.49,0.23,0.09,8.75
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,1.02,0.0,0.0,0.0,0.0
금융원가,"2,306.10",23.77,34.52,6.51,10.15
이자비용,63.27,19.35,26.41,4.25,8.05
외환손실,15.11,4.39,8.10,2.26,2.10
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.00,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.03,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,"1,947.42",0.0,0.0,0.0,0.0
기타금융원가,280.30,0.0,0.0,0.0,0.0
기타수익,0.68,0.03,9.14,0.22,0.02
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,1.39,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.18,0.0,0.0,0.0,0.0
기타,0.49,0.03,7.75,0.22,0.02
기타비용,0.86,0.65,1.08,0.29,0.13
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.61,0.18,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.15,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,0.48,1.07,0.29,0.13
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"-2,274.60",-568.33,-914.67,-121.05,-154.48
법인세비용,0.0,0.0,0.41,0.32,0.0
계속영업이익,"-2,274.60",-568.33,-915.09,-121.36,-154.48
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"-2,274.60",-568.33,-915.09,-121.36,-154.48
지배주주순이익,"-2,274.60",-566.97,-905.64,-119.47,-151.72
비지배주주순이익,0.0,-1.36,-9.45,-1.89,-2.76
