IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
영업수익,159.29,205.17,151.54,23.70,49.22
창업투자및기업구조조정수익,0.0,0.0,0.0,22.87,36.41
이자수익,0.0,0.0,0.0,0.0,0.0
수수료수익,77.75,167.12,113.06,0.0,0.0
금융상품관련이익,81.53,38.05,38.49,0.83,12.81
배당금수익,0.0,0.0,0.0,0.0,0.0
위험회피회계파생상품관련이익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
기타금융자산관련이익,0.0,0.0,0.0,0.0,0.0
기타영업수익,0.0,0.0,0.0,0.0,0.0
영업비용,66.38,99.11,86.60,20.08,27.21
투자및금융비용,0.0,0.0,0.0,4.61,6.55
이자비용,0.0,0.0,0.0,0.0,0.0
수수료비용,0.0,0.0,0.0,0.0,0.0
금융상품관련손실,14.50,19.76,19.67,0.0,0.53
위험회피회계파생상품관련손실,0.0,0.0,0.0,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타금융자산관련손실,0.0,0.0,0.0,0.0,0.0
기타영업비용,0.0,0.0,0.0,0.0,0.0
판매비와관리비,51.88,79.35,66.92,15.47,20.13
영업이익,92.90,106.06,64.95,3.62,22.02
영업외수익,0.80,2.78,9.90,2.11,1.73
이자수익,0.80,2.78,9.59,2.02,1.60
배당금수익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
상각채권추심이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
유가증권처분이익,0.0,0.0,0.0,0.0,0.0
유가증권손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련이익",0.0,0.0,0.0,0.0,0.0
자산처분이익,0.0,0.0,0.27,0.09,0.13
자산재평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
사채상환이익,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
수입수수료,0.0,0.0,0.0,0.0,0.0
임대료,0.0,0.0,0.0,0.0,0.0
자산수증이익,0.0,0.0,0.0,0.0,0.0
보험차익,0.0,0.0,0.0,0.0,0.0
법인세환급액,0.0,0.0,0.0,0.0,0.0
전기오류수정이익,0.0,0.0,0.0,0.0,0.0
퇴직연금운용이익,0.0,0.0,0.0,0.0,0.0
보험수리적이익,0.0,0.0,0.0,0.0,0.0
기타영업외수익,0.00,0.0,0.04,0.00,0.0
영업외비용,0.43,0.74,0.84,0.19,0.19
이자비용,0.43,0.71,0.81,0.19,0.19
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
유가증권처분손실,0.0,0.0,0.0,0.0,0.0
유가증권손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손실",0.0,0.0,0.0,0.0,0.0
자산처분손실,0.00,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
자산재평가손실,0.0,0.0,0.0,0.0,0.0
사채상환손실,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
지급수수료,0.0,0.0,0.0,0.0,0.0
기부금,0.0,0.03,0.03,0.0,0.0
법인세추납액,0.0,0.0,0.0,0.0,0.0
전기오류수정손실,0.0,0.0,0.0,0.0,0.0
퇴직연금운용손실,0.0,0.0,0.0,0.0,0.0
보험수리적손실,0.0,0.0,0.0,0.0,0.0
기타영업외비용,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,93.27,108.10,74.00,5.55,23.55
법인세비용,18.55,19.29,13.64,1.10,4.87
계속영업이익,74.72,88.81,60.37,4.44,18.68
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,74.72,88.81,60.37,4.44,18.68
