IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,156.18,174.98,288.33,66.90,35.19
매출원가,51.13,45.27,79.40,14.11,11.42
매출총이익,105.04,129.71,208.93,52.78,23.78
판매비와관리비,87.23,114.16,142.29,46.87,33.31
인건비,22.28,30.38,36.56,12.46,8.31
유무형자산상각비,3.15,3.08,3.68,1.03,0.85
연구개발비,15.87,25.79,26.42,7.02,6.32
광고선전비,16.41,15.22,21.74,8.63,6.09
판매비,16.36,21.14,33.12,13.41,8.03
관리비,13.07,18.50,20.68,4.21,3.70
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.08,0.06,0.07,0.11,0.01
영업이익,17.82,15.55,66.64,5.91,-9.53
영업이익(발표기준),17.82,15.55,66.64,5.91,-9.53
금융수익,3.51,3.88,6.46,2.67,1.05
이자수익,0.15,0.22,0.27,0.12,0.07
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.47,1.56,6.19,2.55,0.98
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,1.89,2.10,0.0,0.0,0.0
금융원가,9.37,13.03,10.93,2.78,2.09
이자비용,7.16,8.53,5.51,0.19,1.98
외환손실,2.21,1.87,1.28,2.59,0.11
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,2.62,4.14,0.0,0.0
기타수익,0.90,1.02,0.75,0.28,0.43
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.16,0.10,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.74,0.92,0.74,0.28,0.43
기타비용,0.13,0.05,0.04,0.0,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.13,0.05,0.04,0.0,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,12.72,7.37,62.89,6.07,-10.14
법인세비용,0.61,-1.34,9.37,0.84,0.35
계속영업이익,12.11,8.72,53.52,5.24,-10.49
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,12.11,8.72,53.52,5.24,-10.49
지배주주순이익,12.11,8.72,53.52,5.24,-10.49
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
