IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,306.76,382.73,576.45,154.59,123.76
매출원가,112.90,142.45,233.65,64.23,50.91
매출총이익,193.86,240.28,342.80,90.35,72.85
판매비와관리비,113.97,198.62,287.41,77.76,55.42
인건비,34.71,50.75,62.61,17.37,14.11
유무형자산상각비,5.26,9.04,11.45,4.41,2.59
연구개발비,0.02,0.01,0.00,0.0,0.00
광고선전비,13.99,37.65,71.29,19.46,8.83
판매비,24.23,26.95,57.78,14.40,10.56
관리비,35.76,74.21,84.27,22.12,19.33
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,79.88,41.66,55.40,12.60,17.43
영업이익(발표기준),79.88,41.66,55.40,12.60,17.43
금융수익,4.24,8.21,15.53,8.90,2.17
이자수익,1.29,4.03,6.10,1.52,1.22
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.92,2.38,8.23,6.04,0.95
대손충당금환입액,0.00,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.02,0.01,0.0,0.01
금융자산평가이익,0.03,1.78,1.19,1.35,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,6.72,4.48,2.22,0.89,2.14
이자비용,0.22,0.45,0.93,0.31,0.05
외환손실,4.64,4.04,1.29,0.58,1.58
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.00,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.51
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,1.85,0.0,0.0,0.0,0.0
기타수익,0.71,20.31,4.22,3.43,0.03
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.18,0.06,0.02,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,9.18,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.53,11.07,4.21,3.43,0.03
기타비용,1.22,12.56,60.10,1.67,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,3.59,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,8.01,14.72,1.29,0.0
기타,1.22,0.96,45.38,0.38,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,76.89,53.15,12.83,22.37,17.49
법인세비용,16.52,-24.22,6.75,4.29,3.31
계속영업이익,60.38,77.37,6.08,18.08,14.19
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,60.38,77.37,6.08,18.08,14.19
지배주주순이익,59.99,77.37,6.08,18.08,14.19
비지배주주순이익,0.38,0.0,0.0,0.0,0.0
