IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,127.60,158.14,689.83,187.83,91.49
매출원가,109.69,153.97,562.24,169.36,88.32
매출총이익,17.91,4.17,127.59,18.48,3.17
판매비와관리비,36.49,104.00,249.45,70.17,34.97
인건비,11.67,31.74,86.92,27.44,9.36
유무형자산상각비,2.22,3.73,28.90,13.62,1.09
연구개발비,12.11,36.94,68.85,10.85,7.40
광고선전비,3.37,4.45,5.80,2.29,3.16
판매비,0.03,0.82,1.96,0.59,0.01
관리비,7.09,26.32,56.99,15.39,13.95
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.02,0.00,0.00
영업이익,-18.58,-99.83,-121.86,-51.70,-31.80
영업이익(발표기준),-18.58,-99.83,-121.86,-51.70,-31.80
금융수익,12.76,18.50,58.48,21.50,11.99
이자수익,8.24,17.15,33.03,7.59,7.57
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.51,1.35,18.49,2.26,4.40
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.00,0.01,0.00,0.01
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,6.94,11.65,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,206.85,525.45,71.75,20.95,3.33
이자비용,35.83,25.44,13.87,6.59,0.82
외환손실,2.45,3.97,7.64,2.65,2.52
대손상각비,0.0,35.68,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,168.58,460.35,50.24,11.70,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.56,0.04,13.30,0.75,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.05,0.03,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.01,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.04,0.0,0.0
기타,0.55,0.04,13.21,0.72,0.00
기타비용,0.01,20.88,55.38,0.07,0.06
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.28,0.26,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,53.65,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,20.60,1.48,0.07,0.06
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-212.13,-627.61,-177.20,-50.47,-23.20
법인세비용,-5.07,21.25,14.08,-2.27,0.0
계속영업이익,-207.05,-648.86,-191.28,-48.19,-23.20
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-207.05,-648.86,-191.28,-48.19,-23.20
지배주주순이익,-207.07,-648.76,-225.60,-43.21,-21.63
비지배주주순이익,0.02,-0.10,34.33,-4.98,-1.57
