IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,205.86,226.76,185.42,8.00,31.93
매출원가,127.96,163.67,147.54,5.45,23.06
매출총이익,77.90,63.09,37.89,2.55,8.86
판매비와관리비,54.07,56.64,63.53,14.84,12.49
인건비,17.06,20.09,27.39,4.62,4.24
유무형자산상각비,1.69,2.12,2.61,0.68,0.62
연구개발비,21.78,18.44,21.09,5.54,4.59
광고선전비,0.14,0.11,0.27,0.02,0.20
판매비,4.63,4.20,4.26,1.79,0.94
관리비,8.77,11.67,7.91,2.19,1.91
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,23.84,6.45,-25.64,-12.29,-3.63
영업이익(발표기준),23.84,6.45,-25.64,-12.29,-3.63
금융수익,2.15,3.45,5.66,1.12,1.61
이자수익,0.77,1.59,4.38,1.00,1.09
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.38,1.86,1.28,0.13,0.52
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,9.11,33.78,3.53,0.81,1.03
이자비용,2.80,4.46,1.42,0.17,0.64
외환손실,5.86,0.93,2.11,0.64,0.39
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.45,28.39,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.25,1.45,0.65,0.06,0.04
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.02,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.25,1.45,0.64,0.06,0.04
기타비용,0.10,27.55,0.06,0.01,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,27.55,0.06,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,17.02,-49.98,-22.91,-11.93,-3.00
법인세비용,-3.78,5.72,-1.86,0.55,-3.79
계속영업이익,20.80,-55.71,-21.06,-12.48,0.79
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,20.80,-55.71,-21.06,-12.48,0.79
지배주주순이익,20.93,-55.56,-21.06,-12.48,0.79
비지배주주순이익,-0.13,-0.15,0.0,0.0,0.0
