IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,21.84,51.46,42.11,10.72,10.32
매출원가,11.83,23.79,17.02,3.80,3.89
매출총이익,10.02,27.67,25.09,6.92,6.42
판매비와관리비,81.03,92.64,133.51,31.81,29.33
인건비,37.04,48.93,70.03,17.71,16.74
유무형자산상각비,10.17,9.62,14.60,4.10,2.93
연구개발비,18.76,11.95,24.31,4.69,5.19
광고선전비,0.99,2.50,2.48,0.86,0.54
판매비,3.48,5.41,3.53,-0.01,0.37
관리비,10.45,13.97,18.09,4.36,3.49
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.13,0.27,0.47,0.10,0.08
영업이익,-71.01,-64.97,-108.42,-24.89,-22.91
영업이익(발표기준),-71.01,-64.97,-108.42,-24.89,-22.91
금융수익,2.88,7.27,10.41,2.54,1.07
이자수익,1.28,3.18,10.41,2.54,1.07
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.00,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,1.06,3.95,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.53,0.14,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,8.07,6.14,0.77,0.23,0.18
이자비용,8.07,6.14,0.77,0.23,0.18
외환손실,0.0,0.0,0.00,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,8.74,0.01,0.71,0.00,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.00,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,8.41,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.33,0.01,0.71,0.00,0.00
기타비용,0.51,28.57,2.00,1.73,0.16
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.01,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.51,0.00,0.59,1.73,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,28.36,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.20,1.41,0.00,0.16
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-67.97,-92.39,-100.06,-24.31,-22.17
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-67.97,-92.39,-100.06,-24.31,-22.17
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-67.97,-92.39,-100.06,-24.31,-22.17
