IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,1.02,0.42,0.30,0.0,0.0
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,1.02,0.42,0.30,0.0,0.0
판매비와관리비,79.38,67.26,54.68,0.0,0.0
인건비,14.72,17.91,14.05,0.0,0.0
유무형자산상각비,6.95,7.46,2.59,0.0,0.0
연구개발비,48.57,34.29,30.19,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,7.04,5.35,5.90,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.10,2.24,1.94,0.0,0.0
영업이익,-78.36,-66.83,-54.38,0.0,0.0
영업이익(발표기준),-78.36,-66.83,-54.38,0.0,0.0
금융수익,105.74,140.24,2.53,0.0,0.0
이자수익,2.84,2.92,1.62,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.04,0.00,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,102.86,137.32,0.91,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,20.37,33.12,60.64,0.0,0.0
이자비용,20.01,23.21,26.78,0.0,0.0
외환손실,0.00,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.36,9.91,33.86,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.32,0.53,0.14,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.30,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.32,0.23,0.14,0.0,0.0
기타비용,0.02,0.00,0.00,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.00,0.00,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,7.31,40.82,-112.35,0.0,0.0
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,7.31,40.82,-112.35,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,7.31,40.82,-112.35,0.0,0.0
