IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,447.53","1,891.88","2,231.64",583.58,551.03
매출원가,"1,341.91","1,672.53","1,924.41",490.97,469.55
매출총이익,105.61,219.35,307.22,92.60,81.48
판매비와관리비,68.04,74.71,91.74,20.21,22.27
인건비,33.16,40.07,48.22,10.49,11.57
유무형자산상각비,4.63,4.63,5.45,1.33,1.19
연구개발비,1.20,0.0,0.0,0.0,0.0
광고선전비,0.24,0.14,0.14,0.06,0.01
판매비,14.05,14.03,17.04,4.05,3.48
관리비,14.37,15.32,20.19,4.03,5.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.40,0.52,0.69,0.26,0.25
영업이익,37.57,144.64,215.49,72.40,59.20
영업이익(발표기준),37.57,144.64,215.49,72.40,59.20
금융수익,1.10,1.70,15.32,2.39,3.43
이자수익,0.73,1.22,13.96,2.37,2.74
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.36,0.47,1.07,0.02,0.50
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.01,0.00,0.00,0.0,0.0
금융자산평가이익,0.0,0.0,0.29,0.0,0.20
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,14.61,24.60,34.54,7.12,9.13
이자비용,14.19,24.16,33.92,7.10,9.10
외환손실,0.34,0.43,0.33,0.03,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.08,0.00,0.29,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.51,1.52,3.07,0.55,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.50,0.19,0.47,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.01,1.33,2.60,0.55,0.01
기타비용,4.45,0.70,0.98,0.46,0.48
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.12,0.48,0.42,0.41,0.36
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.33,0.22,0.56,0.05,0.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,22.12,122.55,198.35,67.76,53.03
법인세비용,-21.54,21.38,32.77,12.78,10.19
계속영업이익,43.66,101.17,165.58,54.98,42.84
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,43.66,101.17,165.58,54.98,42.84
지배주주순이익,43.66,101.17,165.58,54.98,42.84
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
