IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,52.15,60.09,71.05,20.89,9.66
매출원가,17.20,23.13,25.27,6.68,3.36
매출총이익,34.95,36.97,45.78,14.20,6.30
판매비와관리비,14.80,23.77,29.61,11.40,6.75
인건비,6.41,9.82,13.09,5.78,2.88
유무형자산상각비,0.41,0.32,0.44,0.10,0.11
연구개발비,2.56,4.76,7.95,2.59,2.38
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.63,0.45,0.51,0.11,0.08
관리비,2.17,4.53,2.89,1.37,0.69
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.61,3.90,4.73,1.45,0.61
영업이익,20.15,13.20,16.17,2.81,-0.45
영업이익(발표기준),20.15,13.20,16.17,2.81,-0.45
금융수익,1.75,1.67,9.44,3.50,0.83
이자수익,0.58,1.54,6.29,2.79,0.38
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.17,0.13,3.16,0.71,0.45
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,5.25,0.53,0.24,0.51,0.08
이자비용,0.76,0.41,0.24,0.07,0.08
외환손실,2.75,0.12,0.00,0.44,0.0
대손상각비,1.74,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.62,0.47,0.11,0.13,0.04
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.01,0.07,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.61,0.39,0.11,0.13,0.04
기타비용,0.01,0.00,0.00,0.08,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.00,0.00,0.08,0.0
"종속기업,공동지배기업및관계기업관련손익",-0.45,0.0,0.0,0.0,0.0
지분법손익,-0.45,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,16.80,14.80,25.48,5.85,0.34
법인세비용,1.77,0.70,2.26,1.17,0.10
계속영업이익,15.03,14.10,23.22,4.68,0.24
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,15.03,14.10,23.22,4.68,0.24
