IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,26.25,40.27,34.07,10.03,9.02
매출원가,22.53,26.10,25.19,7.28,5.68
매출총이익,3.72,14.17,8.88,2.75,3.34
판매비와관리비,90.40,91.86,115.00,22.82,33.30
인건비,19.77,13.79,24.36,7.67,4.41
유무형자산상각비,3.86,4.14,3.77,0.87,0.79
연구개발비,52.40,57.69,70.41,10.20,22.38
광고선전비,1.80,1.68,1.21,0.48,0.67
판매비,0.24,0.75,0.50,0.43,0.18
관리비,12.32,12.95,14.45,2.44,4.49
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.86,0.29,0.71,0.38
영업이익,-86.68,-77.69,-106.12,-20.07,-29.96
영업이익(발표기준),-86.68,-77.69,-106.12,-20.07,-29.96
금융수익,0.42,2.24,10.70,2.50,0.44
이자수익,0.37,2.16,8.35,2.44,0.05
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.05,0.08,2.35,0.06,0.39
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,21.07,28.76,0.42,0.15,0.08
이자비용,13.43,9.44,0.18,0.08,0.06
외환손실,0.21,0.23,0.24,0.07,0.02
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,7.44,19.09,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.01,0.05,0.07,0.00,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.41,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,2.59,0.0,0.0,0.0,0.0
기타,0.00,0.05,0.07,0.00,0.00
기타비용,0.05,0.01,0.01,0.0,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.05,0.01,0.01,0.0,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-104.36,-104.16,-95.77,-17.71,-29.60
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-104.36,-104.16,-95.77,-17.71,-29.60
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-104.36,-104.16,-95.77,-17.71,-29.60
