IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,255.88,300.49,275.19,52.77,73.63
매출원가,194.22,221.08,197.97,41.01,54.84
매출총이익,61.67,79.41,77.22,11.77,18.78
판매비와관리비,23.86,29.25,39.92,9.88,9.41
인건비,10.39,14.98,22.03,4.95,5.02
유무형자산상각비,1.37,1.68,2.20,0.68,0.47
연구개발비,4.79,4.41,6.22,1.60,1.24
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.08,1.82,2.37,0.37,0.44
관리비,4.66,5.81,6.15,1.94,2.06
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.57,0.54,0.95,0.35,0.17
영업이익,37.81,50.16,37.30,1.89,9.38
영업이익(발표기준),37.81,50.16,37.30,1.89,9.38
금융수익,2.28,5.26,8.54,2.72,1.62
이자수익,1.98,5.19,8.47,2.69,1.62
배당금수익,0.18,0.02,0.0,0.0,0.0
외환이익,0.12,0.05,0.08,0.03,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.32,3.08,2.79,0.59,0.74
이자비용,2.21,3.01,2.68,0.59,0.73
외환손실,0.12,0.06,0.12,-0.00,0.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.63,2.72,0.20,0.00,0.03
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.06,0.00,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.57,2.72,0.20,0.00,0.03
기타비용,0.94,0.17,1.13,0.00,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.89,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.52,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.42,0.17,0.24,0.00,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,38.46,54.89,42.12,4.01,10.25
법인세비용,3.90,8.01,4.94,0.35,2.16
계속영업이익,34.56,46.88,37.18,3.66,8.09
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,34.56,46.88,37.18,3.66,8.09
