IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,109.81,127.24,132.53,28.32,35.37
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,109.81,127.24,132.53,28.32,35.37
판매비와관리비,62.89,62.90,81.79,19.32,18.35
인건비,13.69,13.19,22.83,6.25,4.89
유무형자산상각비,1.67,1.83,1.92,0.52,0.46
연구개발비,33.50,28.87,36.55,7.97,8.54
광고선전비,0.83,0.66,0.71,0.18,0.25
판매비,8.24,11.31,10.72,1.48,1.65
관리비,4.95,7.04,9.05,2.92,2.56
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,46.92,64.33,50.74,9.00,17.02
영업이익(발표기준),46.92,64.33,50.74,9.00,17.02
금융수익,3.51,8.77,10.93,3.63,2.72
이자수익,2.73,5.14,7.62,0.0,0.0
배당금수익,0.25,1.85,1.03,0.0,0.0
외환이익,0.06,0.07,0.46,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.07,0.60,1.36,0.0,0.0
금융자산평가이익,0.41,1.11,0.46,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,3.63,2.72
금융원가,4.10,4.02,4.21,0.15,0.98
이자비용,1.33,2.85,1.67,0.0,0.0
외환손실,0.39,0.45,0.02,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,2.23,0.0,0.0
금융자산평가손실,2.39,0.72,0.30,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.15,0.98
기타수익,1.86,2.39,6.98,0.32,1.30
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.52,1.47,0.90,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.34,0.92,6.08,0.32,1.30
기타비용,0.00,0.00,0.00,0.00,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.00,0.00,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,48.19,71.47,64.44,12.80,20.07
법인세비용,4.04,9.32,4.53,0.90,2.62
계속영업이익,44.15,62.15,59.90,11.90,17.45
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,44.15,62.15,59.90,11.90,17.45
