IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,179.80,232.42,351.70,53.28,102.06
매출원가,135.08,173.01,291.05,50.17,75.32
매출총이익,44.72,59.41,60.66,3.11,26.74
판매비와관리비,26.10,31.70,36.81,9.46,10.47
인건비,7.73,10.76,15.05,3.43,3.42
유무형자산상각비,0.56,0.65,1.02,0.35,0.21
연구개발비,14.30,15.10,12.62,3.77,3.48
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-0.02,0.04,0.04,0.00,0.40
관리비,3.54,5.13,8.09,1.91,2.97
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,18.61,27.71,23.85,-6.35,16.27
영업이익(발표기준),18.61,27.71,23.85,-6.35,16.27
금융수익,1.94,6.16,7.54,1.88,2.12
이자수익,0.34,2.28,4.22,1.37,0.66
배당금수익,0.0,0.0,0.0,0.00,0.0
외환이익,1.60,1.93,3.32,0.51,1.45
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,1.95,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,17.23,8.41,5.00,1.27,1.71
이자비용,4.84,6.10,2.80,1.17,0.51
외환손실,1.07,0.79,0.36,0.10,0.06
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,11.32,1.53,1.84,0.0,1.13
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.35,0.06,0.79,0.05,0.17
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.06,0.68,0.0,0.17
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.35,0.00,0.11,0.04,0.00
기타비용,0.02,0.01,73.43,0.19,0.05
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.19,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.02,0.01,73.43,0.00,0.05
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,3.65,25.51,-46.24,-5.88,16.80
법인세비용,-0.30,-1.18,-0.32,-0.68,0.69
계속영업이익,3.95,26.69,-45.91,-5.20,16.12
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,3.95,26.69,-45.91,-5.20,16.12
