IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,178.95,244.08,330.85,51.33,68.06
매출원가,180.25,186.20,252.01,30.33,58.82
매출총이익,-1.29,57.88,78.84,21.01,9.24
판매비와관리비,36.59,38.64,56.40,16.63,12.52
인건비,17.36,15.92,18.00,6.18,4.33
유무형자산상각비,1.20,1.12,1.14,0.30,0.27
연구개발비,11.93,14.89,26.00,6.61,4.40
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,0.0,0.0,0.0,0.0,0.0
관리비,3.86,4.21,7.47,2.22,2.83
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.23,2.51,3.80,1.32,0.69
영업이익,-37.88,19.24,22.44,4.38,-3.28
영업이익(발표기준),-37.88,19.24,22.44,4.38,-3.28
금융수익,14.48,1.25,1.33,1.12,0.27
이자수익,0.15,0.09,0.35,0.67,0.11
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.09,1.16,0.98,0.45,0.16
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,14.25,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,11.83,29.63,13.24,0.77,4.45
이자비용,11.62,16.71,10.11,0.18,4.25
외환손실,0.13,0.56,1.56,0.60,0.20
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.08,12.36,1.58,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.26,0.84,0.08,0.01,0.26
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.01,0.05,0.0,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.22,0.83,0.03,0.01,0.23
기타비용,0.94,0.30,0.42,0.08,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.62,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.32,0.30,0.42,0.08,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-35.91,-8.62,10.18,4.65,-7.22
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-35.91,-8.62,10.18,4.65,-7.22
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-35.91,-8.62,10.18,4.65,-7.22
