IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,4.38,15.91,19.53,0.0,0.0
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,4.38,15.91,19.53,0.0,0.0
판매비와관리비,109.91,113.86,141.88,0.0,0.0
인건비,27.56,37.39,47.26,0.0,0.0
유무형자산상각비,1.39,3.10,3.33,0.0,0.0
연구개발비,62.27,47.76,52.17,0.0,0.0
광고선전비,1.45,1.40,3.32,0.0,0.0
판매비,0.27,0.36,0.33,0.0,0.0
관리비,16.96,23.85,35.46,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-105.53,-97.95,-122.35,0.0,0.0
영업이익(발표기준),-105.53,-97.95,-122.35,0.0,0.0
금융수익,6.25,9.68,37.12,0.0,0.0
이자수익,5.82,9.25,4.81,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.22,1.62,0.0,0.0
금융자산평가이익,0.0,0.21,0.01,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.43,0.0,30.68,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,142.61,301.05,31.90,0.0,0.0
이자비용,49.06,59.92,31.90,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,93.55,241.14,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.77,0.65,1.79,0.0,0.0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.19,0.19,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.77,0.46,1.60,0.0,0.0
기타비용,0.00,0.01,0.02,0.0,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.00,0.00,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.01,0.02,0.0,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-241.11,-388.68,-115.36,0.0,0.0
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,-241.11,-388.68,-115.36,0.0,0.0
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-241.11,-388.68,-115.36,0.0,0.0
지배주주순이익,-241.11,-386.87,-112.46,0.0,0.0
비지배주주순이익,0.0,-1.81,-2.89,0.0,0.0
